Column,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Percentage
P_PERIOD_ERROR_MIN,-0.001129,-1.594e-05,0.00111306,-0.00279859,0.0016536499999999998,798,20.96138691883373
P_PERIOD_ERROR_MAX,1.6e-05,0.001165,0.001149,-0.0017075000000000003,0.0028885000000000004,794,20.85631731021802
P_ANGULAR_DISTANCE,0.13,6.24,6.11,-9.035,15.405000000000001,434,18.382041507835662
P_RADIUS,1.5694,3.55357,1.9841700000000002,-1.4068550000000002,6.529825000000001,559,17.80821917808219
P_MASS_EST,3.6281006,149.37916,145.7510594,-214.99848849999998,368.0057491,715,17.66304347826087
P_PERIOD,4.4973355250000004,41.86661075,37.369275224999996,-51.556577312499996,97.92052358749999,691,17.5469781615033
P_APASTRON,0.054497593250000004,0.2699282475,0.21543065425,-0.268648388125,0.5930742288749999,695,17.471091000502764
P_SEMI_MAJOR_AXIS_EST,0.053,0.26050677,0.20750677,-0.25826015500000005,0.571766925,678,17.043740573152338
P_DISTANCE_EFF,0.053000001,0.260537165,0.20753716400000002,-0.25830574500000003,0.5718429110000001,678,17.043740573152338
P_DISTANCE,0.05311025375,0.263415485,0.21030523125,-0.262347593125,0.578873331875,677,17.01860231271996
P_PERIASTRON,0.05134024225,0.246,0.19465975775,-0.240649394375,0.537989636625,645,16.21417797888386
P_SEMI_MAJOR_AXIS,0.057,0.653,0.596,-0.8369999999999999,1.547,377,15.927334178284749
P_SEMI_MAJOR_AXIS_ERROR_MAX,0.0008,0.04,0.0392,-0.057999999999999996,0.0988,242,15.473145780051151
P_SEMI_MAJOR_AXIS_ERROR_MIN,-0.04,-0.0008,0.0392,-0.0988,0.057999999999999996,235,15.035188739603328
P_TPERI_ERROR_MIN,-67.0,-1.7,65.3,-164.95,96.24999999999999,64,13.559322033898304
P_TPERI_ERROR_MAX,1.7,68.475,66.77499999999999,-98.46249999999999,168.6375,64,13.559322033898304
P_MASS_ERROR_MAX,4.449592,85.813561,81.36396900000001,-117.59636150000003,207.85951450000005,197,13.428766189502387
P_FLUX_MIN,10.974538,279.40327,268.428732,-391.66856,682.046368,494,13.276001074979844
P_MASS_ERROR_MIN,-79.457001,-4.392383000000001,75.06461800000001,-192.05392800000004,108.20454400000003,194,13.224267211997272
S_MASS_ERROR_MAX,0.04,0.09,0.049999999999999996,-0.034999999999999996,0.16499999999999998,405,13.222331047992164
P_FLUX,11.911882,298.30425,286.39236800000003,-417.67667000000006,727.8928020000001,484,13.007256113947863
P_GRAVITY,0.8790793975,3.49018785,2.6111084525,-3.03758328125,7.40685052875,91,12.889518413597735
P_FLUX_MAX,13.209599,323.76833,310.55873099999997,-452.6284974999999,789.6064265,475,12.765385649019082
S_DISTANCE_ERROR_MAX,1.7,66.985,65.285,-96.22749999999999,164.9125,506,12.755230652886313
P_YEAR,2014.0,2016.0,2.0,2011.0,2019.0,514,12.697628458498023
P_MASS,26.54896775,806.48856,779.93959225,-1143.3604206250002,1976.3979483750002,198,12.390488110137673
S_MASS_ERROR_MIN,-0.08,-0.04,0.04,-0.14,0.019999999999999997,370,12.195121951219512
P_DENSITY,0.08472916,0.7096472425,0.6249180825,-0.8526479637500001,1.6470243662500001,86,12.181303116147308
P_TPERI,2452987.4,2456173.2,3185.8000000002794,2448208.6999999993,2460951.9000000004,58,12.058212058212058
P_POTENTIAL,5.330453225,36.8056815,31.475228275,-41.882389187499996,84.0185239125,84,11.89801699716714
S_RADIUS_ERROR_MIN,-0.1525,-0.03,0.1225,-0.33625,0.15375,366,10.234899328859061
S_TIDAL_LOCK,0.42033668,0.4721404,0.05180372,0.3426311,0.54984598,325,9.905516610789393
P_INCLINATION_ERROR_MIN,-1.0025,-0.19,0.8125,-2.22125,1.02875,80,9.852216748768473
S_AGE,2.95,4.79,1.8399999999999999,0.1900000000000004,7.55,200,9.847365829640571
P_HILL_SPHERE,0.002399722825,0.09279548725,0.090395764425,-0.1331939238125,0.2283891338875,151,9.767141009055628
S_LUMINOSITY,0.415672335,1.8391196,1.423447265,-1.7194985625,3.9742904975,357,9.429477020602219
P_RADIUS_ERROR_MIN,-0.52687,-0.13452,0.39235,-1.115395,0.454005,287,9.243156199677939
S_RA,207.84480250000001,293.88206,86.03725750000001,78.78891625,422.93794625000004,374,9.239130434782608
S_RA_H,13.856320499999999,19.59213825,5.7358177500000025,5.252593874999995,28.195864875000005,374,9.239130434782608
P_ESCAPE,2.308777475,6.06676845,3.757990975,-3.3282089874999996,11.703754912499999,64,9.06515580736544
S_DISTANCE_ERROR_MIN,-51.74,-1.6749999999999998,50.065000000000005,-126.8375,73.42250000000001,350,8.82278800100832
S_MASS,0.81,1.13,0.31999999999999984,0.3300000000000003,1.6099999999999997,270,8.224185196466646
S_RADIUS_EST,0.8,1.25,0.44999999999999996,0.1250000000000001,1.9249999999999998,296,7.700312174817898
S_RADIUS,0.8,1.25,0.44999999999999996,0.1250000000000001,1.9249999999999998,284,7.62825678216492
P_RADIUS_ERROR_MAX,0.14573,0.66139,0.51566,-0.62776,1.4348800000000002,230,7.4074074074074066
P_INCLINATION,86.1925,89.278,3.0855000000000103,81.56424999999999,93.90625000000003,59,6.990521327014218
P_INCLINATION_ERROR_MAX,0.2,0.9895,0.7895000000000001,-0.9842500000000001,2.17375,55,6.790123456790123
S_HZ_CON1_MAX,1.13904195,2.2281176,1.08907565,-0.49457152500000023,3.8617310750000002,250,6.603275224511358
S_HZ_CON0_MAX,1.13904195,2.2281176,1.08907565,-0.49457152500000023,3.8617310750000002,250,6.603275224511358
