Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.9950617283950617,0.9946594534609515,0.9950617283950617,0.994752781169448,0.9989730214358289,0.9984771887805602
Linear SVM,0.9962962962962963,0.9967901234567901,0.9962962962962963,0.996501671085961,0.9996556410534904,0.9990694559896555
Random Forest,0.991358024691358,0.9909925680240771,0.991358024691358,0.9901192979213359,0.9978475892012496,0.998307580012098
