Column,Missing_Count,Missing_Percentage,Imputed_Value
S_TYPE,2678,66.15612648221344,G0 V
P_TYPE,17,0.4199604743083004,Jovian
S_TYPE_TEMP,136,3.3596837944664033,G
P_TYPE_TEMP,327,8.07806324110672,Hot
