Component,Explained_Variance,Cumulative_Variance
1,25.331067275458064,25.331067275458064
2,13.029027295223145,38.360094570681206
3,9.747405021338587,48.1074995920198
4,4.146485123840395,52.25398471586019
5,3.778097693827099,56.03208240968729
6,3.271882951064533,59.30396536075182
7,2.935780448193441,62.23974580894526
8,2.6126186178582684,64.85236442680352
9,2.296287068661379,67.1486514954649
10,2.1144886842473674,69.26314017971227
11,1.9695699952644055,71.23271017497667
12,1.7651892874974442,72.99789946247412
13,1.6976693239066296,74.69556878638075
14,1.540847258378492,76.23641604475925
15,1.4123813883718468,77.6487974331311
16,1.3697416005309226,79.01853903366202
17,1.2661023783441103,80.28464141200612
18,1.1350277430557107,81.41966915506184
19,1.0125854581592773,82.43225461322112
20,0.9567686622511314,83.38902327547224
21,0.910960441682953,84.29998371715519
22,0.8923951023726371,85.19237881952783
23,0.7868854093704922,85.97926422889832
24,0.7380833800145788,86.7173476089129
25,0.6744309202421715,87.39177852915508
26,0.6474034263891039,88.03918195554418
27,0.6383905913644209,88.6775725469086
28,0.5620061153088864,89.23957866221748
29,0.5122094990211229,89.75178816123861
30,0.4986741293889754,90.25046229062758
31,0.4548493153620011,90.70531160598959
32,0.4349021950670452,91.14021380105663
33,0.39604730805319094,91.53626110910983
34,0.37921309973478506,91.91547420884461
35,0.3543472145767949,92.26982142342142
36,0.32255711547179383,92.5923785388932
37,0.30494737847226766,92.89732591736546
38,0.2912444579040403,93.1885703752695
39,0.2846849433374863,93.473255318607
40,0.25255117937878796,93.72580649798579
41,0.24421960341226792,93.97002610139805
42,0.21182959885275915,94.18185570025082
43,0.1725590554252052,94.35441475567602
44,0.1540172455806191,94.50843200125664
45,0.13185978793967212,94.64029178919631
46,0.12312922497360926,94.76342101416991
47,0.11275379112829802,94.8761748052982
48,0.10862029156780606,94.98479509686601
49,0.10670768405172609,95.09150278091774
50,0.10413130049657254,95.1956340814143
51,0.07618749021309071,95.27182157162738
52,0.0731037189344974,95.34492529056189
53,0.05878530307546329,95.40371059363734
54,0.04957599727555106,95.4532865909129
55,0.0440202555716761,95.49730684648458
56,0.04098882529432004,95.5382956717789
57,0.03351006921484462,95.57180574099374
58,0.03256721602427866,95.60437295701803
59,0.031876214831329415,95.63624917184936
60,0.030599403782681927,95.66684857563203
61,0.028118902134146414,95.69496747776618
62,0.025829438726529784,95.72079691649272
63,0.023896313468570067,95.74469322996129
64,0.022516350340934715,95.76720958030222
65,0.021929060851196593,95.78913864115343
66,0.020820844792917053,95.80995948594634
67,0.020391904183663313,95.83035139012999
68,0.01906187557545243,95.84941326570545
69,0.01887561320007447,95.86828887890553
70,0.01801798386106037,95.88630686276659
71,0.017905795934426896,95.90421265870101
72,0.017452063746877553,95.9216647224479
73,0.017031090805167234,95.93869581325306
74,0.015955309831756408,95.95465112308482
75,0.015762960596332923,95.97041408368115
76,0.015041546984138725,95.9854556306653
77,0.014809470928868097,96.00026510159417
78,0.014434020986571493,96.01469912258074
79,0.014128642761185214,96.02882776534192
80,0.013468206329240805,96.04229597167115
81,0.01285696832275382,96.0551529399939
82,0.012292821219928838,96.06744576121383
83,0.012096436649390207,96.07954219786322
84,0.011749835823379285,96.0912920336866
85,0.011671488265694044,96.1029635219523
86,0.011530435335248144,96.11449395728755
87,0.011267738730447672,96.125761696018
88,0.011163505154869885,96.13692520117286
89,0.010956125033455454,96.14788132620632
90,0.01065228610447784,96.15853361231079
91,0.010544109217958538,96.16907772152875
92,0.010293048795335406,96.17937077032408
93,0.01025557741320793,96.1896263477373
94,0.010186988881844007,96.19981333661914
95,0.010049174103841886,96.20986251072299
96,0.009864527166562404,96.21972703788954
97,0.009844034892861356,96.2295710727824
98,0.009723738081706497,96.23929481086411
99,0.009477465709437609,96.24877227657355
100,0.009349554830792623,96.25812183140434
101,0.009246142699274386,96.2673679741036
102,0.009090912750089964,96.2764588868537
103,0.008812525519603404,96.2852714123733
104,0.00872157635155368,96.29399298872487
105,0.008480987255872537,96.30247397598075
106,0.008251811009162726,96.3107257869899
107,0.008084564495940506,96.31881035148584
108,0.007995074192530923,96.32680542567837
109,0.007890880570783286,96.33469630624916
110,0.007826329032060753,96.34252263528121
111,0.007739966128413245,96.35026260140963
112,0.0074447441890319165,96.35770734559867
113,0.0073490372870910975,96.36505638288575
114,0.007310264758961612,96.37236664764472
115,0.007200544181429144,96.37956719182615
116,0.007142874355685777,96.38671006618183
117,0.007074366507090399,96.39378443268892
118,0.00701895545097433,96.4008033881399
119,0.006860783039540019,96.40766417117945
120,0.006780713430971847,96.41444488461042
121,0.006668777216694731,96.4211136618271
122,0.006611251995409207,96.42772491382252
123,0.0065052158612078255,96.43423012968373
124,0.006451459681998378,96.44068158936572
125,0.006407049633410293,96.44708863899913
126,0.006314874031444848,96.45340351303058
127,0.006287461517281554,96.45969097454787
128,0.006183138065567832,96.46587411261342
129,0.006126583710643374,96.47200069632407
130,0.006102890657490594,96.47810358698156
131,0.00608769934552889,96.48419128632707
132,0.006017023811583403,96.49020831013867
133,0.0059468839716474335,96.49615519411032
134,0.005908128921418078,96.50206332303173
135,0.005792966287842255,96.50785628931958
136,0.005762784482381042,96.51361907380196
137,0.005743258626412653,96.51936233242837
138,0.0056844256982908365,96.52504675812666
139,0.005592576892896019,96.53063933501956
140,0.005543733905397366,96.53618306892497
141,0.0054946647954724455,96.54167773372043
142,0.005451480233648455,96.54712921395408
143,0.005402579797923738,96.55253179375201
144,0.005359271113510289,96.55789106486552
145,0.005298552997389688,96.5631896178629
146,0.005252814062329946,96.56844243192523
147,0.005221962835048603,96.57366439476029
148,0.005197874217034194,96.57886226897732
149,0.00517224221276705,96.58403451119008
150,0.005130242603652062,96.58916475379374
151,0.005121268414738991,96.5942860222085
152,0.005088102135078635,96.59937412434357
153,0.005065715755680715,96.60443984009925
154,0.005031733932710419,96.60947157403196
155,0.005008937751973966,96.61448051178392
156,0.004993622646555574,96.61947413443048
157,0.004937821219532831,96.62441195565002
158,0.0048576269960712605,96.62926958264609
159,0.004821746349123726,96.63409132899521
160,0.0047793765694582775,96.63887070556467
161,0.004736423026852477,96.64360712859153
162,0.0047051701402518265,96.64831229873178
163,0.0046778903612684185,96.65299018909305
164,0.0046501193285500685,96.6576403084216
165,0.004619850957062532,96.66226015937866
166,0.004605295155474187,96.66686545453413
