pl_rade,pl_bmasse,pl_eqt,pl_orbper,pl_dens
2.87,16.9,1135.0,9.139703,0.714892950279872
2.265,10.15,1077.0,4.11296,0.8734970109674541
2.587,13.5,784.0,6.443868,0.7797304279958113
2.651,2.5,634.0,12.226574,0.13418711800853486
1.791,9.95,1323.0,0.6047328,1.7319538805621744
14.57167491,1064.725163,1728.0,4.0782387,0.3441193524131803
2.46,8.9,1538.0,2.22816,0.597839609171424
3.66,19.8,825.0,4.074554,0.4038517173977851
13.0,336.0,650.0,8.3501898,0.15293582157487484
9.19,27.4,868.0,7.06466,0.03530238351296026
17.02644168,374.7196919,944.2,2.103189,0.07591626459980982
8.71664516,120.0,1264.29,2.3106446,0.18118954950947153
10.5140239,75.96098927,1486.0,3.671463,0.06535573939837554
2.415,6.28,703.0,2.4919863,0.4458699859273173
2.918,7.39,743.6,25.502672,0.2974326056345647
2.91,1112.399425,440.0,91.68278,45.14210314505162
3.65,15.4,329.6,24.245586,0.31669567139739396
1.69,6.69,944.2,3.444714,1.3860088518107927
1.21,3.76,1133.0,0.764597,2.1224219770022033
2.11,8.32,695.0,3.294736,0.8856782107511756
3.01,8.1,955.0,4.30744,0.29701988944186336
2.45109846,9.1,862.49,5.904137,0.6179582306395757
3.43139739,5.4,587.77,18.654874,0.13365361505875625
3.5141875,14.5,463.98,37.92548,0.3341128764728012
6.8084859,27.4,952.09,4.3601561,0.08681583279087836
3.2710301,11.9,726.89,13.079151,0.3400112914892546
2.726,9.5,1037.0,4.65382,0.46897106796319354
2.759,6.63,827.8,9.15059,0.31568825678156365
2.93,13.6,638.1,19.98,0.5406746992109369
11.45557828,140.1623275,963.0,3.477978,0.09323527338484809
2.41,8.56,871.0,3.127463,0.611536857133488
2.76,13.2,651.0,7.493134,0.6278366802735998
3.12,11.84,499.0,16.608164,0.3898413661727271
2.52,4.46,415.0,10.8945,0.2786976048502881
1.98,3.17,346.0,18.8027,0.40837927278086444
9.1,96.4,918.9,8.1577094,0.12792424336923797
2.40144286,6.4,1004.9,4.2529913,0.4621289775081402
4.13204907,27.0,975.0,3.31599,0.38270783478312925
11.09689089,70.55790635,1211.0,4.631296,0.051634709500127406
12.21778896,5879.82553,944.2,14.47567,3.223937262964571
2.66146528,10.6,759.0,9.61419,0.5622681072433765
4.96846551,44.1,1203.44,2.6998279,0.3595603142314616
10.12369881,63.9,1392.74,3.915292,0.06158617194583355
15.69257298,451.3163379,2360.0,3.1968838,0.11678809765198218
14.11645916,95.3,1414.84,3.9443736,0.03387782907716026
9.65807033,99.0,1278.0,4.537143,0.10989150058517001
3.42,22.4,1395.0,2.1097019,0.5599763689972284
15.647764,753.2571,1679.0,4.720219,0.19660129381294875
7.661,11.3,944.2,95.4001,0.025131710972495325
1.8,11.1,1400.0,0.84742346,1.9032921810699586
1.6,6.4,1000.0,4.841962,1.5624999999999998
6.2163865,45.8,615.03,25.8401,0.19065642799752808
25.0,593.0,944.2,4.42587,0.037952
2.22,7.6,944.2,2.1664,0.6946318122359026
3.10083009,12.5,1236.7,1.21687,0.4192529275253445
1.19880592,2.0,976.4,1.4520527,1.1608693875156042
1.62,3.48,1517.0,1.0697568,0.8185292440741304
11.89,25.1,957.0,6.9561063,0.014932349890118041
3.83,9.5,870.0,12.99894,0.1690936440066529
16.70138124,991.6246298,2370.0,2.650237,0.21285807782138103
2.24,9.6,944.2,18.840942,0.854136297376093
3.04,9.4,971.0,5.13967,0.3345854898673276
2.75,10.6,794.0,9.428089,0.5096919609316304
4.2427861,38.5,748.4,27.644,0.5040891123999554
2.30381001,30.0,520.66,23.540678,2.4534729371270654
1.41792246,3.58,2130.02,0.4702743,1.2558147542614186
2.749,19.5,426.0,8.112245,0.938664496840445
1.13,1.258,722.0,2.0439274,0.8718571041453411
2.61143902,15.2,723.33,16.537944,0.8535007770519641
1.672,4.82,326.0,11.06201,1.0311888748888338
1.173,2.32,944.2,4.3135225,1.4374539762631005
2.224,2.95,819.8,6.5886982,0.26817461588929775
1.401,3.04,683.5,1.8805201,1.105501096698726
2.126,4.1,338.1,15.532477,0.42667193376587664
2.18,7.32,734.0,2.527093,0.7065478842558737
2.47,7.24,373.0,18.08816,0.4804494564849162
4.15964583,16.5,811.14,6.36381,0.22925292246630277
11.99360935,279.6889982,944.2,10.1802117,0.16211592777144637
14.067295,797.7533,1404.5,5.857487,0.28657402561714734
15.24421375,1004.337766,944.2,2.056014,0.28350759941500503
14.414774,375.0394,1588.0,2.0845435,0.12521414199728834
14.19902343,387.0,1493.97,5.33175,0.13518718895790902
16.690201,387.7526,1669.0,4.231306,0.08340076184417326
1.773,7.57,944.2,0.9893455,1.3582185972476688
2.2963977,13.0,1285.16,2.6800535,1.0734999848586284
2.06,41.31769291,1062.0,10.98462,4.726442756287709
11.06326395,200.2318964,684.0,40.74976,0.14787114595764828
1.421,3.07,1000.0,0.66913923,1.069931913551365
12.172974,251.40353,1715.0,2.2554477,0.13937384717024676
5.3422266,31.3,943.19,3.770107,0.20529455047200507
