pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
TOI-4638.01,TOI-4638,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,10.28391879,0.000092782,-0.000098731,0,0.093013,0.003839,-0.004185,0,2.933,0.376,-0.245,0,0.26166518,0.03354453,-0.02185747,0,,,,,,,,,,,,,,87.81,15.3,-12.97,0,,,,,0,<a refstr=CROSSFIELD_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv241116836C/abstract target=ref>Crossfield et al. 2024</a>,,5700,131,-131,0,0.895,0.044,-0.044,0,1.02,0.13,-0.13,0,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,00h51m16.96s,12.8206627,+12d47m16.75s,12.7879858,168.248,1.761,-1.724,11.657,0.028,-0.028,9.696,0.018,-0.018,11.2097,0.000677,-0.000677,12/10/2024,2024-11,12/10/2024
TOI-4641 b,TOI-4641,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BIERYLA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231203971B/abstract target=ref>Bieryla et al. 2023</a>,22.09341,0.000051,-0.000047,0,0.173,0.015,-0.015,0,8.18255591,0.2914335,-0.31385146,0,0.73,0.026,-0.028,0,1229.995935,,,1,3.87,,,1,Mass,0.074,,,1,,,,,,,,,0,<a refstr=BIERYLA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231203971B/abstract target=ref>Bieryla et al. 2023</a>,,6560,300,-340,0,1.72,0.041,-0.043,0,1.41,0.068,-0.059,0,-0.09,0.11,-0.18,0,[M/H],4.11,0.69,-0.69,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h50m13.97s,42.5582023,+25d20m00.72s,25.3335334,86.3501,0.4815,-0.4763,7.51,0.03,-0.03,6.579,0.029,-0.029,7.40775,0.000466,-0.000466,12/14/2023,2023-12,12/14/2023
TOI-470 b,TOI-470,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,12.19148,0.00003,-0.00003,0,0.119,0.008,-0.008,0,4.34,0.29,-0.29,0,0.38718953,0.02587211,-0.02587211,0,,,,,,,,,,,,,,,,,,660,70,-70,0,0,<a refstr=ODDO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....165..134O/abstract target=ref>Oddo et al. 2023</a>,G,5190,90,-90,0,0.831,0.021,-0.021,0,0.87,0.09,-0.09,0,0.1,0.08,-0.08,0,[Fe/H],4.54,0.1,-0.1,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h16m02.38s,94.0099043,-25d01m53.08s,-25.0314111,130.46,0.401,-0.398,11.171,0.017,-0.017,9.422,0.019,-0.019,11.2461,0.000581,-0.000581,8/22/2023,2023-03,8/22/2023
TOI-4734 b,TOI-4734,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250701855Y/abstract target=ref>Yee et al. 2025</a>,6.235633,0.00001,-0.000011,0,0.074,0.0013,-0.0018,0,10.9175472,0.28022452,-0.25780656,0,0.974,0.025,-0.023,0,61.65871096,10.48833743,-10.17050902,0,0.194,0.033,-0.032,0,Mass,0.12,,,1,775,81,-66,0,1468,36,-33,0,0,<a refstr=YEE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250701855Y/abstract target=ref>Yee et al. 2025</a>,,6070,160,-150,0,1.857,0.038,-0.036,0,1.391,0.074,-0.097,0,0.288,0.076,-0.078,0,[Fe/H],4.046,0.014,-0.026,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h01m25.95s,90.3581219,+12d32m52.38s,12.5478825,563.068,19.79,-18.512,12.358,0.069,-0.069,10.848,0.018,-0.018,12.3807,0.000279,-0.000279,7/29/2025,2025-07,7/29/2025
TOI-4773 b,TOI-4773,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=SCHULTE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.tmp.1399S/abstract target=ref>Schulte et al. 2025</a>,1.7452851,0.0000014,-0.0000014,0,0.03216,0.0006,-0.00056,0,15.22179579,0.54924005,-0.53803107,0,1.358,0.049,-0.048,0,1687.668841,111.2399425,-108.0616584,0,5.31,0.35,-0.34,0,Mass,0.024,0.027,-0.017,0,,,,,2255,73,-59,0,0,<a refstr=SCHULTE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025MNRAS.tmp.1399S/abstract target=ref>Schulte et al. 2025</a>,,6740,250,-200,0,1.55,0.046,-0.046,0,1.452,0.082,-0.075,0,0.11,0.14,-0.12,0,[Fe/H],4.22,0.029,-0.028,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h39m46.24s,114.9426489,-21d29m08.23s,-21.4856184,492.888,7.848,-7.61,12.075,0.03,-0.03,10.715,0.021,-0.021,11.7194,0.000417,-0.000417,9/25/2025,2025-09,9/25/2025
TOI-4791 b,TOI-4791,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,4.28088,0.000022,-0.000023,0,0.0555,0.0011,-0.0012,0,12.44196858,0.56044903,-0.56044903,0,1.11,0.05,-0.05,0,734.1836202,101.7050902,-104.8833743,0,2.31,0.32,-0.33,0,Mass,0,,,0,783.2,56.6,-50,0,1472,26,-24,0,0,<a refstr=YEE_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023ApJS..265....1Y/abstract target=ref>Yee et al. 2023</a>,,6058,99,-94,0,1.409,0.039,-0.038,0,1.242,0.072,-0.077,0,0.207,0.085,-0.089,0,[Fe/H],4.234,0.032,-0.033,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h17m33.21s,109.3883818,-19d49m44.18s,-19.8289392,328.802,3.696,-3.616,11.541,0.014,-0.014,10.019,0.023,-0.023,11.3152,0.000605,-0.000605,2/27/2023,2023-03,2/27/2023
TOI-4794 b,TOI-4794,1,1,1,Transit,2025,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=YEE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250701855Y/abstract target=ref>Yee et al. 2025</a>,3.5658116,0.0000063,-0.0000063,0,0.0492,0.0009,-0.001,0,14.35870428,0.49319515,-0.43715025,0,1.281,0.044,-0.039,0,308.2935548,76.27881768,-73.10053361,0,0.97,0.24,-0.23,0,Mass,0.1,,,1,1310,120,-100,0,1673,35,-33,0,0,<a refstr=YEE_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025arXiv250701855Y/abstract target=ref>Yee et al. 2025</a>,,6390,160,-150,0,1.451,0.036,-0.03,0,1.25,0.068,-0.075,0,-0.102,0.066,-0.077,0,[Fe/H],4.215,0.021,-0.036,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h21m56.05s,110.4835517,-12d33m55.72s,-12.5654781,543.008,10.802,-10.396,12.563,0.08,-0.08,11.123,0.025,-0.025,12.4496,0.000204,-0.000204,7/29/2025,2025-07,7/29/2025
TOI-480 b,TOI-480,1,1,1,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=POLANSKI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..272...32P/abstract target=ref>Polanski et al. 2024</a>,6.866196,0.000014,-0.000014,0,0.077,0.001,-0.001,0,2.85372018,0.13233983,-0.10240654,0,0.2545923,0.01180659,-0.00913612,0,20.8,4.4,-4.2,0,0.06544412,0.01384395,-0.01321468,0,Mass,0,,,0,,,,,1198.94,25.36,-27.14,0,0,<a refstr=MACDOUGALL_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023AJ....166...33M/abstract target=ref>MacDougall et al. 2023</a>,,6174,90,-119,0,1.4877,0.0443,-0.0338,0,1.2793,0.0282,-0.0288,0,0.164,0.077,-0.07,0,[Fe/H],4.194,0.026,-0.027,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h53m30.83s,88.3784618,-16d15m55.43s,-16.2653974,54.5306,0.1249,-0.1244,7.28,0.03,-0.03,6.01,0.033,-0.033,7.1442,0.000253,-0.000253,7/22/2024,2024-06,7/22/2024
TOI-481 b,TOI-481,1,1,1,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=BRAHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..235B/abstract target=ref>Brahm et al. 2020</a>,10.33111,0.00002,-0.00002,0,0.097,0.001,-0.001,0,11.09691,0.11209,-0.11209,0,0.99,0.01,-0.01,0,486.2799,9.5349,-9.5349,0,1.53,0.03,-0.03,0,Mass,0.153,0.006,-0.007,0,,,,,1370,10,-10,0,0,<a refstr=BRAHM_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..235B/abstract target=ref>Brahm et al. 2020</a>,G,5735,72,-72,0,1.66,0.02,-0.02,0,1.14,0.02,-0.01,0,0.26,0.05,-0.05,0,[Fe/H],4.06,0.01,-0.01,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,07h22m03.04s,110.5126861,-57d23m05.99s,-57.384998,179.366,1.018,-1.007,9.972,0.005,-0.005,8.443,0.023,-0.023,9.84659,0.000432,-0.000432,12/10/2020,2020-11,12/17/2020
TOI-4860 b,TOI-4860,1,1,1,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),Published Confirmed,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,1.5227591,0.0000003,-0.0000003,0,0.01808,0.00015,-0.00015,0,8.7,0.4,-0.4,0,0.77,0.03,-0.03,0,86.7,1.9,-1.9,0,0.273,0.006,-0.006,0,Mass,0.008,0.013,-0.006,0,42.5,1.9,-1.9,0,694,15,-15,0,0,<a refstr=ALMENARA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230801454A/abstract target=ref>Almenara et al. 2023</a>,M3.5 V,3260,50,-50,0,0.358,0.015,-0.015,0,0.34,0.009,-0.009,0,0.27,0.12,-0.12,0,[Fe/H],4.86,0.04,-0.04,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h14m15.35s,183.563961,-13d10m29.43s,-13.1748411,80.1423,0.6481,-0.6379,16.47,0.2,-0.2,11.175,0.026,-0.026,15.1091,0.001287,-0.001287,3/4/2024,2023-08,3/4/2024
