Model,ROC_AUC_OVR,MCC,F1_macro,Precision_macro,Recall_macro
ClassWeighted_SVM,0.95346963004103,0.8197418022201824,0.750445632798574,0.7555555555555555,0.75
XGBoost,1.0,1.0,1.0,1.0,1.0
Balanced_RF,0.998838832883424,0.5398833729452289,0.66579558886508,0.5656108597285069,0.9900542495479204
