pl_name,pl_rade,pl_eqt,habitability_score
LHS 1678 d,2.87,1135.0,0.0
LHS 3844 b,2.587,784.0,0.0
LHS 475 b,2.651,634.0,0.0
LP 714-47 b,1.791,1323.0,0.0
LP 791-18 b,14.57167491,1728.0,0.0
LP 791-18 c,2.46,1538.0,0.0
LP 890-9 b,3.66,825.0,0.0
LTT 1445 A b,13.0,650.0,0.0
LTT 1445 A c,9.19,868.0,0.0
LTT 3780 b,17.02644168,944.2,0.0
LTT 3780 c,8.71664516,1264.29,0.0
LTT 9779 b,10.5140239,1486.0,0.0
NGTS-11 b,2.415,703.0,0.0
NGTS-20 b,2.918,743.6,0.0
NGTS-27 b,2.91,440.0,0.0
NGTS-31 b,1.69,944.2,0.0
TIC 139270665 b,3.01,955.0,0.0
TIC 172900988 b,2.45109846,862.49,0.0
TIC 237913194 b,3.43139739,587.77,0.0
TIC 241249530 b,3.5141875,463.98,0.0
TIC 257060897 b,6.8084859,952.09,0.0
TIC 279401253 b,3.2710301,726.89,0.0
TIC 365102760 b,2.726,1037.0,0.0
TIC 393818343 b,2.759,827.8,0.0
TIC 434398831 b,2.93,638.1,0.0
TIC 434398831 c,11.45557828,963.0,0.0
TIC 46432937 b,2.41,871.0,0.0
TIC 4672985 b,2.76,651.0,0.0
TIC 88785435 b,3.12,499.0,0.0
TOI-1062 b,9.1,918.9,0.0
TOI-1064 b,2.40144286,1004.9,0.0
TOI-1064 c,4.13204907,975.0,0.0
TOI-1075 b,11.09689089,1211.0,0.0
TOI-1107 b,12.21778896,944.2,0.0
TOI-1117 b,2.66146528,759.0,0.0
TOI-1130 b,4.96846551,1203.44,0.0
TOI-1130 c,10.12369881,1392.74,0.0
TOI-1135 b,15.69257298,2360.0,0.0
TOI-1136 b,14.11645916,1414.84,0.0
TOI-1136 c,9.65807033,1278.0,0.0
TOI-1136 d,3.42,1395.0,0.0
TOI-1136 e,15.647764,1679.0,0.0
TOI-1136 f,7.661,944.2,0.0
TOI-1174 b,6.2163865,615.03,0.0
TOI-1180 b,25.0,944.2,0.0
TOI-1181 b,2.22,944.2,0.0
TOI-1184 b,3.10083009,1236.7,0.0
TOI-1194 b,1.19880592,976.4,0.0
TOI-1199 b,1.62,1517.0,0.0
TOI-1201 b,11.89,957.0,0.0
TOI-1203 d,3.83,870.0,0.0
TOI-122 b,16.70138124,2370.0,0.0
TOI-1224 b,3.04,971.0,0.0
TOI-1224 c,2.75,794.0,0.0
TOI-1227 b,4.2427861,748.4,0.0
TOI-1238 b,2.749,426.0,0.0
TOI-1238 c,1.13,722.0,0.0
TOI-1244 b,2.61143902,723.33,0.0
TOI-1246 c,1.173,944.2,0.0
TOI-1246 d,2.224,819.8,0.0
TOI-1246 e,1.401,683.5,0.0
TOI-125 c,4.15964583,811.14,0.0
TOI-125 d,11.99360935,944.2,0.0
TOI-1259 A b,14.067295,1404.5,0.0
TOI-1260 b,15.24421375,944.2,0.0
TOI-1260 c,14.414774,1588.0,0.0
TOI-1260 d,14.19902343,1493.97,0.0
TOI-1266 b,16.690201,1669.0,0.0
TOI-1266 c,1.773,944.2,0.0
TOI-1268 b,2.06,1062.0,0.0
TOI-1269 b,11.06326395,684.0,0.0
TOI-1272 b,1.421,1000.0,0.0
