Model,F1-Score,ROC-AUC,MCC
Logistic Regression,0.8235294117647058,0.9983579638752053,0.8221083073205849
SVM (Linear),0.6666666666666666,0.9852216748768473,0.6531078836200866
Random Forest,0.9230769230769231,1.0,0.9205447286268047
