pl_name,pl_rade,pl_bmasse,pl_orbper,pl_orbsmax,pl_eqt,pl_insol,st_teff,st_rad,st_met,planet_density,star_luminosity,HSI,SCI,star_type_G,star_type_K,star_type_M,habitable,star_type_F,habitability_probability,star_type_G,star_type_K,star_type_M
GJ 536 b,2.41,6.37,8.70874,0.0668,451.0,9.9,3641.0,0.529,-0.08,0.45508058176872884,0.044124917842768785,0.0,0.00043308041437134043,False,False,True,0,0,0.0,False,False,True
GJ 536 c,2.3,5.89,32.761,0.1617,290.5,1.692,3641.0,0.529,-0.08,0.4840963261280513,0.044124917842768785,0.0,0.00043308041437134043,False,False,True,0,0,0.0,False,False,True
GJ 806 c,2.28,5.8,6.64064,0.0523,490.0,9.5,5596.0,0.4144,-0.28,0.48935434924646193,0.1510915465943802,0.0,0.00426912568306011,True,False,False,0,0,0.0,True,False,False
GJ 887 b,1.88,4.2,9.262,0.068,468.0,7.95,3688.0,0.4712,-0.06,0.6320853760727393,0.03685225461308502,0.00502793296089386,0.00045116988350793604,False,False,True,0,0,0.0,False,False,True
Gl 686 b,2.46,6.624,15.53,0.091,379.0,101.32650000000001,3656.0,0.427,-0.23,0.44495388439904626,0.029226065162774095,0.0,0.0003829524870849274,False,False,True,0,0,0.0,False,False,True
Gliese 12 b,0.958,3.87,12.761408,0.0668,314.6,1.62,5596.0,0.2617,-0.32,4.401639169516829,0.06025708501859687,0.33187712044105167,0.004139758238118894,True,False,False,0,0,0.016666666666666666,True,False,False
HAT-P-13 c,2.48,7.22,8.45778956,0.0787,340.0,101.32650000000001,5653.0,1.756,0.02,0.47334975328119233,2.8252365427000155,0.0,0.007780890133831309,True,False,False,0,0,0.0,True,False,False
HATS-59 c,2.48,7.22,8.45778956,0.0787,175.9,0.159,5670.0,1.036,0.18,0.47334975328119233,0.995271564871486,0.0,0.007774840615767378,True,False,False,0,0,0.0,True,False,False
HD 109286 b,2.48,7.22,8.45778956,0.0787,259.4,0.709,5694.0,1.089,0.05,0.47334975328119233,1.1184471333345334,0.0,0.011204481792717085,True,False,False,0,0,0.0,True,False,False
HD 115954 b,2.48,7.22,8.45778956,0.0787,144.9,0.064,5957.0,1.213,0.34,0.47334975328119233,1.6623476434883264,0.0,0.0041459369817578775,True,False,False,0,0,0.0,True,False,False
HD 118203 c,2.48,7.22,8.45778956,0.0787,146.0,101.32650000000001,5742.0,0.94,0.287,0.47334975328119233,0.8617837681356784,0.0,0.021000021000021005,True,False,False,0,0,0.0,True,False,False
HD 137496 c,2.48,7.22,8.45778956,0.0787,370.0,101.32650000000001,5799.0,1.59,-0.03,0.47334975328119233,2.5650541252582917,0.0,0.0441306266548985,True,False,False,0,0,0.0,True,False,False
HD 164922 b,2.48,7.22,8.45778956,0.0787,159.4,0.1578,5390.0,0.946,0.18,0.47334975328119233,0.6776839241213137,0.0,0.002178554311358982,True,False,False,0,0,0.0,True,False,False
HD 169830 b,2.48,7.22,8.45778956,0.0787,345.0,101.32650000000001,6300.0,0.94,0.21,0.47334975328119233,1.248842744356349,0.0,0.0015802032141333374,False,False,False,0,0,0.0,False,False,False
HD 190360 b,2.48,7.22,8.45778956,0.0787,150.0,101.32650000000001,5552.0,1.14,0.25,0.47334975328119233,1.1078918878863624,0.0,0.0035242290748898684,True,False,False,0,0,0.0,True,False,False
HD 191939 e,2.48,7.22,8.45778956,0.0787,390.0,3.9,5348.0,0.94,-0.15,0.47334975328119233,0.6485017487293495,0.0,0.0020175527085645115,True,False,False,0,0,0.0,True,False,False
HD 191939 f,2.48,7.22,8.45778956,0.0787,125.0,101.32650000000001,5348.0,0.94,-0.15,0.47334975328119233,0.6485017487293495,0.0,0.0020175527085645115,True,False,False,0,0,0.0,True,False,False
HD 192263 b,2.48,7.22,24.3556,0.15,486.0,101.32650000000001,4976.0,0.74,0.03,0.47334975328119233,0.30121373836454857,0.0,0.0012090582645177671,False,True,False,0,0,0.0,False,True,False
HD 20794 d,2.04,4.8,8.45778956,0.0787,388.0,101.32650000000001,5368.0,0.93,0.02,0.5653934007282266,0.6443261769390277,0.0,0.0023853823767950003,True,False,False,0,0,0.0,True,False,False
HD 211403 b,2.48,7.22,8.45778956,0.0787,380.0,3.44,6273.0,1.206,0.18,0.47334975328119233,2.0206245057444314,0.0,0.0017085839256424276,False,False,False,0,0,0.0,False,False,False
HD 219134 d,1.61,16.17,8.45778956,0.237,410.5,4.72,4699.0,0.778,0.11,3.8746492268313584,0.26477124894629195,0.03918087121212121,0.0008341675008341675,False,True,False,0,0,0.006666666666666667,False,True,False
HD 224018 d,2.4,4.2,8.45778956,0.0787,411.0,101.32650000000001,5784.0,1.147,0.05,0.3038194444444445,1.3210821449811734,0.0,0.13605442176870747,True,False,False,0,0,0.0,True,False,False
HD 23472 c,1.87,3.41,29.79749,0.1646,467.0,7.96,4684.0,0.71,-0.2,0.52147027703529,0.21770785206112442,0.005491226438492059,0.00076103500761035,False,True,False,0,0,0.0033333333333333335,False,True,False
HD 27969 b,2.48,7.22,8.45778956,0.0787,261.0,0.76,5966.0,1.27,0.18,0.47334975328119233,1.8332862788058821,0.0,0.004483902788987535,True,False,False,0,0,0.0,True,False,False
HD 40307 f,2.13,5.2,8.45778956,0.247,398.0,101.32650000000001,4956.0,0.716684,-0.31,0.5381019096719369,0.2780164276815808,0.0,0.0009275319302867,False,True,False,0,0,0.0,False,True,False
HD 52265 b,2.48,7.22,8.45778956,0.0787,405.0,101.32650000000001,6136.0,1.32,0.21,0.47334975328119233,2.216047760622368,0.0,0.0023020787771357537,False,False,False,0,0,0.0,False,False,False
HD 73583 c,2.39,9.7,18.87974,0.1242,498.0,10.2,4511.0,0.65,0.0,0.7105228210041385,0.15696682422120403,0.0,0.0007886435331230284,False,True,False,0,0,0.0,False,True,False
HD 80606 b,2.48,7.22,8.45778956,0.0787,405.0,101.32650000000001,5565.0,1.05,0.35,0.47334975328119233,0.9487004854081984,0.0,0.0034614053305642087,True,False,False,0,0,0.0,True,False,False
HD 80869 b,2.48,7.22,8.45778956,0.0787,203.2,0.142,5837.0,1.062,0.17,0.47334975328119233,1.1746207180637103,0.0,0.014245014245014245,True,False,False,0,0,0.0,True,False,False
HD 86226 b,2.48,7.22,8.45778956,0.0787,176.0,101.32650000000001,5863.0,1.053,0.018,0.47334975328119233,1.1755095698524312,0.0,0.011422305478137707,True,False,False,0,0,0.0,True,False,False
HD 88986 b,2.49,17.2,8.45778956,0.0787,460.0,101.32650000000001,5861.0,1.543,0.06,1.1141159855628702,2.5206270213342266,0.0,0.01123090745732255,True,False,False,0,0,0.0,True,False,False
HD 95544 b,2.48,7.22,8.45778956,0.0787,156.5,0.1,5722.0,1.088,0.11,0.47334975328119233,1.1385157804950752,0.0,0.015805278963173696,True,False,False,0,0,0.0,True,False,False
HIP 41378 f,2.48,12.0,8.45778956,0.0787,294.0,1.24,6320.0,1.273,-0.1,0.786730891880098,2.3196099895860063,0.0,0.0016742005692281935,False,False,False,0,0,0.07333333333333333,False,False,False
HN Lib b,2.2,5.46,36.116,0.1417,234.4,0.503,5596.0,0.299,-0.18,0.5127723516153266,0.0786580272187506,0.0,0.004630915995183848,True,False,False,0,0,0.006666666666666667,True,False,False
HR 5183 b,2.48,7.22,8.45778956,0.0787,171.0,101.32650000000001,5794.0,1.53,0.1,0.47334975328119233,2.3669368717430133,0.0,0.053475935828877004,True,False,False,0,0,0.0033333333333333335,True,False,False
K2-133 e,1.73,3.64,26.5841,0.1346,296.0,1.8,3655.0,0.455,0.02,0.7030125439455267,0.03314836928946459,0.09375,0.00046157822827812853,False,False,True,0,0,0.06,False,False,True
K2-136 d,1.565,3.0,25.575,0.1538,420.0,7.07,4500.0,0.677,-0.02,0.7826691738604019,0.1686231672658807,0.02919764560099133,0.0007665302242867436,False,True,False,0,0,0.0,False,True,False
K2-152 b,2.29,5.86,32.6479,0.1716,337.0,2.9,4044.0,0.61,0.12,0.48796780478356677,0.08928820817127608,0.0,0.0005146150679291889,False,True,False,0,0,0.0,False,True,False
K2-153 b,2.0,4.66,7.51574,0.0614,497.0,11.8,3845.0,0.53,-0.09,0.5825,0.055084189759174965,0.0,0.00047436979972107055,False,True,False,0,0,0.0,False,True,False
K2-155 d,1.9,4.27,40.718,0.1937,381.0,1.67,4258.0,0.58,-0.3,0.6225397288234437,0.09921297338273666,0.02535892634207243,0.0005057401507105649,False,True,False,0,0,0.0033333333333333335,False,True,False
K2-17 b,2.23,5.6,17.96753,0.119,487.0,4.91,4320.0,0.66,0.15,0.5049791394019261,0.13611710642909264,0.0,0.0005960008344011682,False,True,False,0,0,0.0,False,True,False
K2-18 b,2.37,8.92,32.939623,0.1429,284.0,1.005,5596.0,0.411,0.12,0.6700694475900898,0.14862241603358545,0.0,0.004879000780640124,True,False,False,0,0,0.03333333333333333,True,False,False
K2-185 c,2.39,6.3,8.45778956,0.0787,477.0,101.32650000000001,5788.0,0.94,-0.1,0.46147358477588385,0.8897328938811552,0.0,0.08264462809917356,True,False,False,0,0,0.0,True,False,False
K2-21 c,2.49,6.76,15.50192,0.107,420.0,5.1,4222.06,0.646783,-0.11,0.43787349200029085,0.11926270243578821,0.0,0.0005786355934723888,False,True,False,0,0,0.0,False,True,False
K2-239 c,1.0,0.972,7.775,0.0576,427.0,101.32650000000001,5596.0,0.36,-0.1,0.972,0.11402646869218554,0.0050559836514598964,0.004967709885742673,True,False,False,0,0,0.0,True,False,False
K2-239 d,1.1,1.37,10.115,0.0685,399.0,101.32650000000001,5596.0,0.36,-0.1,1.0293012772351613,0.11402646869218554,0.00540549124615813,0.004967709885742673,True,False,False,0,0,0.0033333333333333335,True,False,False
K2-240 c,1.8,3.89,20.523,0.1159,389.0,101.32650000000001,3810.0,0.54,-0.1,0.6670096021947873,0.05512863918297843,0.001269085829292618,0.0004617018329562768,False,True,False,0,0,0.0,False,True,False
K2-251 b,2.35,6.12,9.30075,0.0694,437.0,101.32650000000001,3717.0,0.49,-0.04,0.47157180971461043,0.04111991937052675,0.0,0.0004663135119003208,False,True,False,0,0,0.0,False,True,False
K2-263 b,2.41,14.9,8.45778956,0.2573,470.0,8.17,5368.0,0.85,-0.08,1.0644742022533846,0.5382421815683286,0.0,0.0022528611336397222,True,False,False,0,0,0.0,True,False,False
K2-264 b,2.231,5.61,5.840002,0.05023,496.0,101.32650000000001,3660.0,0.473,-0.013,0.5052009405262694,0.03601939990210393,0.0,0.0004658644790913035,False,False,True,0,0,0.0,False,False,True
K2-268 f,2.23,5.6,26.27057,0.0787,492.0,101.32650000000001,5106.0,0.78,0.03,0.5049791394019261,0.37102425116257515,0.0,0.0014426059233399212,False,True,False,0,0,0.0,False,True,False
K2-286 b,2.1,5.06,27.359,0.1768,347.0,101.32650000000001,3926.0,0.62,0.0,0.5463772810711586,0.08193593425596031,0.0,0.0005396654074473826,False,True,False,0,0,0.0,False,True,False
K2-288 B b,1.9,4.27,31.393463,0.164,226.36,101.32650000000001,5596.0,0.32,-0.21,0.6225397288234437,0.09009498760864043,0.0007681023217076935,0.0045160998961297025,True,False,False,0,0,0.05,True,False,False
K2-3 c,1.582,2.68,24.646729,0.1357,371.8,3.17,3844.0,0.546,-0.157,0.6768857270059124,0.05839943579620835,0.07107280841993072,0.0004466688553440578,False,True,False,0,0,0.01,False,True,False
K2-3 d,1.458,2.2,44.55603,0.2014,305.2,1.44,3844.0,0.546,-0.157,0.7098230677211294,0.05839943579620835,0.20886498178506377,0.0004466688553440578,False,True,False,1,0,0.7966666666666666,False,True,False
K2-315 b,0.95,0.809,3.1443189,0.0787,460.0,7.45,5596.0,0.196,-0.24,0.9435777810176412,0.03379969769505402,0.0452827087442472,0.004406839414771726,True,False,False,0,0,0.0,True,False,False
K2-316 c,1.83,4.01,5.26,0.0582,423.0,101.32650000000001,5596.0,0.379,0.02,0.6543213683899467,0.12638021596770233,0.0008825915085535023,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
K2-318 b,1.66,3.39,7.01,0.0911,456.0,101.32650000000001,3851.0,0.552,0.02,0.7410976465012322,0.06012596779788912,0.00138445726831922,0.0005085021560491416,False,True,False,0,0,0.0,False,True,False
K2-323 b,2.1,5.06,24.93,0.1275,318.0,101.32650000000001,3710.0,0.549,0.02,0.5463772810711586,0.05123068671134921,0.0,0.00047384831167846545,False,True,False,0,0,0.0,False,True,False
K2-325 b,2.2,5.48,6.93,0.0419,423.0,101.32650000000001,5596.0,0.298,0.02,0.5146506386175806,0.07813276640232134,0.0,0.005357334190506804,True,False,False,0,0,0.0,True,False,False
K2-332 b,2.2,5.48,17.70632,0.0787,266.0,101.32650000000001,5596.0,0.28,0.09,0.5146506386175806,0.06897897488786534,0.0,0.0050132852057953575,True,False,False,0,0,0.0,True,False,False
K2-343 c,2.02,4.74,7.676972,0.0787,465.0,101.32650000000001,3804.0,0.46,-0.1,0.5750746626471293,0.03975278376771987,0.0,0.0004602991944764097,False,True,False,0,0,0.0,False,True,False
