P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY,Predicted_Class,Habitability_Score,Confidence_Conservative,Confidence_Optimistic
GJ 273 b,2.8890565,1.5095953,18.6498,0.091556505,265.80058,3382.0,0.0098577785,0.29,0.29,0.09,1,0.9997379,0.99945337,0.00028456163
LHS 1140 b,6.9795029,1.72634,24.736959,0.09376848,212.27899,3216.0,0.0042266024,0.21,0.18,-0.24,2,0.999657,0.00015549056,0.99950147
Kepler-62 f,2.5805743,1.41246,267.291,0.718,204.95149,4925.0,0.21591039,0.64,0.69,-0.37,1,0.9996536,0.99924374,0.00040981994
TRAPPIST-1 f,0.68015193,1.04253,9.20669,0.037173625,202.8071,2559.0,0.00055326383,0.12,0.08,0.04,1,0.99965084,0.99950135,0.00014951781
Wolf 1061 c,3.4102945,1.6645224,17.8719,0.08953845,274.71341,3342.0,0.010740829,0.31,0.29,-0.09,1,0.9996162,0.9987863,0.0008299182
TRAPPIST-1 g,1.3412342,1.13221,12.35294,0.045183909,183.94526,2559.0,0.00055326383,0.12,0.08,0.04,1,0.9995839,0.9994344,0.0001495078
Kepler-1632 b,6.6476898,2.4662,448.30356,1.1902286,270.47771,6137.0,1.7997288,1.19,1.12,0.0,2,0.99946237,3.673113e-05,0.99942565
K2-9 b,5.702589,2.25321,18.4498,0.091,275.78899,3390.0,0.011371319,0.31,0.3,-0.25,2,0.9994208,0.000519933,0.9989009
K2-3 d,2.9012671,1.51335,44.55983,0.2076,282.04367,3896.0,0.0647352,0.56,0.6,-0.32,2,0.9992837,0.00044012218,0.99884355
Kepler-1606 b,4.9534779,2.07385,196.43522,0.63836637,277.39001,5422.0,0.57269528,0.86,0.9,0.01,2,0.9992481,8.9343215e-05,0.99915874
Kepler-452 b,3.2754986,1.62545,384.843,1.046,261.40203,5757.0,1.2126055,1.11,1.04,0.21,2,0.99921685,7.73336e-05,0.99913955
Kepler-174 d,5.4165988,2.18595,247.35373,0.677,205.84409,4880.0,0.19532207,0.62,,,2,0.9991125,4.3217326e-05,0.9990693
Kepler-186 f,1.6844027,1.16584,129.9441,0.4323456,181.5697,3755.0,0.048165392,0.52,0.54,-0.26,1,0.9984341,0.99821293,0.00022121685
Kepler-298 d,6.8023267,2.49983,77.473633,0.305,271.39548,4465.0,0.11979274,0.58,,,2,0.9982562,0.00013251469,0.9981237
tau Cet e,3.9315324,1.8099732,162.87,0.5467156,285.39203,5344.0,0.45951617,0.79299998,0.78,-0.55000001,1,0.99825215,0.9975012,0.00075097725
HD 40307 g,7.0875645,2.5610495,197.8,0.62523,257.81584,4956.0,0.3857486,,0.77,-0.31,2,0.9974718,0.00027241185,0.9971994
GJ 3293 d,7.5992676,2.6683929,48.1345,0.19533637,219.20455,3466.0,0.020688207,0.4,0.42,0.02,2,0.99713016,0.00028906317,0.9968411
Kepler-991 b,7.010777,2.54467,82.534252,0.31963847,267.43288,4392.0,0.12405025,0.61,0.64,-0.25,0,0.4825002,0.0014051193,0.48109508
GJ 3323 c,2.3106096,1.323458,40.54,0.12822648,135.42324,3159.0,0.0012848418,0.12,0.16,-0.27,0,0.3229812,0.32245407,0.0005271498
TRAPPIST-1 h,0.34834272,0.75107,18.767,0.059539171,160.13143,2559.0,0.00055326383,0.12,0.08,0.04,0,0.31519425,0.31487575,0.00031849867
tau Cet f,3.9315324,1.8099732,636.13,1.3510752,181.31867,5344.0,0.45951617,0.79299998,0.78,-0.55000001,0,0.1817867,0.17110065,0.01068605
Kepler-1549 b,7.1159697,2.56709,214.88655,0.67268223,262.23447,5324.0,0.50792479,0.84,0.88,0.02,0,0.1721218,0.000380153,0.17174163
Kepler-309 c,6.8541965,2.51104,105.35638,0.401,278.36112,4713.0,0.22916242,0.72,,,0,0.15440753,0.00043315967,0.15397437
Kepler-441 b,3.4695604,1.6815,207.2482,0.6432,177.22541,4340.0,0.096155237,0.55,0.57,-0.57,0,0.12266861,0.10612375,0.016544858
Kepler-560 b,3.5881927,1.71513,18.477644,0.095448023,291.44213,3556.0,0.015601399,0.33,0.34,-0.39,0,0.120608605,0.08916572,0.031442888
HIP 41378 d,0.0,0.0,1114.0,2.2156187,213.41802,6226.0,2.4173231,1.34,1.17,,0,0.11941217,0.0982236,0.021188574
HIP 41378 f,0.0,0.0,1084.0,2.1756602,215.36893,6226.0,2.4173231,1.34,1.17,,0,0.11941217,0.0982236,0.021188574
Kepler-1362 b,7.2749643,2.60072,136.20563,0.4808426,265.58257,4857.0,0.27303888,0.74,0.8,0.06,0,0.115926266,0.00068228185,0.115243986
Ross 128 b,1.3984432,1.1068671,9.8658,0.049933709,292.09208,3231.0,0.0042650986,0.20900001,0.17,-0.02,0,0.0941234,0.090971,0.0031524003
Kepler-439 b,5.6545043,2.242,178.1396,0.56325335,297.56226,5431.0,0.58999233,0.87,0.88,0.02,0,0.05101043,0.004267007,0.046743423
GJ 1148 b,96.69917,11.936835,41.38,0.1779852,221.23955,3264.0,0.016270812,0.4,0.35,,0,0.03708013,0.0011036334,0.0359765
Kepler-438 b,1.4635061,1.121,35.23319,0.1660747,292.37473,3748.0,0.047807239,0.52,0.54,0.16,0,0.036447924,0.030010633,0.006437291
GJ 3293 b,23.538342,5.1933932,30.5987,0.1436481,255.10464,3466.0,0.020688207,0.4,0.42,0.02,0,0.034985486,0.0012768896,0.0337086
GJ 687 b,19.06968,4.5877261,38.14,0.170136,234.11533,3340.0,0.020616333,0.43,0.45,0.15,0,0.03183526,0.0009475278,0.030887732
Kapteyn c,6.9922161,2.5406997,121.54,0.31922595,150.594,3550.0,0.011967352,0.29,0.28,-0.89,0,0.026978852,0.0013011752,0.025677677
GJ 667 C g,4.449592,1.9468648,256.2,0.5507568,130.52091,3350.0,0.020796086,,0.33,-0.55,0,0.02687709,0.0029135803,0.023963511
Kepler-1628 b,33.867504,6.43454,76.378033,0.28858657,220.33848,3724.0,0.046594432,0.52,0.55,0.17,0,0.025622552,0.0009983715,0.02462418
Kepler-1630 b,5.4165988,2.18595,509.9974,1.0874339,158.89038,4736.0,0.17890255,0.63,0.66,-0.46,0,0.024634825,0.0007971809,0.023837645
