P_NAME,P_MASS_EST,P_RADIUS_EST,P_PERIOD,P_DISTANCE,P_TEMP_EQUIL,S_TEMPERATURE,S_LUMINOSITY,S_RADIUS,S_MASS,S_METALLICITY,Predicted_Class,Habitability_Score,Confidence_Conservative,Confidence_Optimistic
K2-242 b,7.010777,2.54467,6.51389,0.0494,417.25834,3459.0,0.01755878,0.37,0.38,-0.01,0,0.00011518976,5.7508423e-05,5.7681333e-05
K2-199 b,4.1632686,1.87207,3.225338,0.0385,861.00819,4648.0,0.19336192,0.68,0.73,-0.11,0,0.00011433344,3.9701e-05,7.463244e-05
LkCa 15 c,0.0,0.0,,18.6,,,,,,,0,0.00011433034,7.498387e-05,3.9346465e-05
LkCa 15 b,0.0,0.0,,14.7,,,,,,,0,0.00011433034,7.498387e-05,3.9346465e-05
Kepler-1381 b,5.702589,2.25321,25.384269,0.16671567,601.49772,5747.0,0.86359306,0.94,0.96,-0.1,0,0.000114310984,3.161945e-05,8.2691535e-05
Kepler-1384 b,4.4203935,1.93933,15.362628,0.11130588,559.05007,4919.0,0.28724956,0.74,0.78,-0.06,0,0.00011397331,3.9437993e-05,7.453531e-05
Kepler-1392 b,4.5075054,1.96175,15.14104,0.1147557,657.26531,5479.0,0.58335335,0.85,0.88,-0.11,0,0.00011393981,3.7855887e-05,7.6083925e-05
K2-25 b,11.640251,3.43026,3.484552,0.03085237,435.46647,3180.0,0.0077053633,0.29,0.29,0.15,0,0.00011367448,5.7985755e-05,5.568873e-05
GJ 1265 b,7.3990359,2.6267538,3.6511,0.0260208,385.5425,3236.0,0.0035467445,0.19,0.18,-0.04,0,0.00011367448,5.7985755e-05,5.568873e-05
GJ 3779 b,7.9997308,2.7503414,3.0232,0.0260637,480.6592,3324.0,0.0085752891,0.28,0.27,0.0,0,0.00011367448,5.7985755e-05,5.568873e-05
Kepler-622 b,5.1829123,2.1299,14.282267,0.099258486,459.04033,4201.0,0.10383865,0.61,0.64,-0.09,0,0.00011359055,5.4956286e-05,5.8634265e-05
K2-84 c,4.773015,2.02901,27.86,0.1768,571.37281,5652.0,0.79079362,0.93,0.95,,0,0.000113558955,2.0235053e-05,9.33239e-05
Kepler-1509 b,4.0789714,1.84965,25.43382,0.16921959,616.22199,5780.0,0.9801,0.99,1.0,0.03,0,0.000113558955,2.0235053e-05,9.33239e-05
Kepler-1522 b,3.6281006,1.72634,1.8478892,0.029065909,1422.651,5706.0,0.82145091,0.93,0.96,-0.07,0,0.000113553775,6.262698e-05,5.0926792e-05
Kepler-81 b,6.4437871,2.42136,5.955,,,4500.0,0.12789181,0.59,,,0,0.00011348565,2.2414213e-05,9.107144e-05
Kepler-81 c,6.1925912,2.36531,12.04,,,4500.0,0.12789181,0.59,,,0,0.00011348565,2.2414213e-05,9.107144e-05
Kepler-152 c,6.2925768,2.38773,88.255055,0.356,318.93738,5088.0,0.31127343,0.72,,,0,0.00011331345,2.4760258e-05,8.855319e-05
Kepler-1259 b,2.6505029,1.43488,0.66308526,0.013811869,1662.9742,5053.0,0.3463118,0.77,0.8,-0.07,0,0.000113188675,8.327718e-05,2.99115e-05
Kepler-968 c,3.5089223,1.69271,5.7094049,0.05703936,709.98265,4598.0,0.19622783,0.7,0.76,0.13,0,0.00011312665,7.304104e-05,4.0085604e-05
Kepler-1062 b,3.74891,1.75997,9.3041208,0.07864061,604.52903,4597.0,0.19605718,0.7,0.75,0.11,0,0.00011312665,7.304104e-05,4.0085604e-05
Kepler-1322 b,3.2372384,1.61424,0.96286738,0.018420498,1662.4176,5488.0,0.61515359,0.87,0.9,-0.07,0,0.00011259335,6.1666506e-05,5.092684e-05
Kepler-764 b,3.3139434,1.63666,7.3368394,0.071852989,862.04523,5557.0,0.67675309,0.89,0.92,-0.06,0,0.00011259335,6.1666506e-05,5.092684e-05
Kepler-851 b,3.4695604,1.6815,8.5069966,0.078431478,791.54587,5455.0,0.57319912,0.85,0.89,-0.07,0,0.00011259335,6.1666506e-05,5.092684e-05
K2-172 b,3.4303813,1.67029,14.316941,0.11260838,682.28931,5569.0,0.65228294,0.87,0.93,-0.06,0,0.00011259335,6.1666506e-05,5.092684e-05
Kepler-310 d,6.6476898,2.4662,92.876125,0.392,382.8412,5797.0,0.78355086,0.88,,,0,0.00011247331,2.1058775e-05,9.1414535e-05
K2-269 b,3.086051,1.5694,4.144965,0.0531,1430.1299,6209.0,2.7996987,1.45,1.16,-0.08,0,0.00011232169,6.166653e-05,5.0655166e-05
Kepler-1257 b,2.9378483,1.52456,2.6683138,0.036342515,1186.5602,5502.0,0.62145473,0.87,0.9,-0.09,0,0.00011232169,6.166653e-05,5.0655166e-05
Kepler-825 b,2.9378483,1.52456,3.7736006,0.047895265,1250.8155,5976.0,1.3328415,1.08,1.03,-0.08,0,0.00011232169,6.166653e-05,5.0655166e-05
LSPM J2116+0234 b,13.301102,3.7106075,14.4399,0.089066818,338.63888,3475.0,0.0241571,0.43,0.43,-0.05,0,0.00011205442,5.437291e-05,5.768151e-05
Kepler-1048 b,3.2372384,1.61424,6.9210102,0.0645619,675.03187,4651.0,0.20543294,0.7,0.75,0.01,0,0.000111523696,6.156838e-05,4.995531e-05
Kepler-220 e,2.3419147,1.33399,45.902733,0.226,351.53519,4632.0,0.1851452,0.67,,,0,0.00011129516,4.5976958e-05,6.53182e-05
Kepler-367 c,1.8651456,1.19947,53.578637,0.253,342.84851,4710.0,0.20992804,0.69,,,0,0.00011129516,4.5976958e-05,6.53182e-05
Kepler-79 d,6.0387321,7.16319,52.0902,0.28708969,579.15853,6174.0,2.2000971,1.3,1.17,-0.073,0,0.00011103228,2.2595774e-05,8.843651e-05
PDS 70 c,3333.8537,12.414076,,34.5,33.458159,3972.0,0.35405171,1.26,0.76,,0,0.00011099706,2.1213269e-05,8.978379e-05
Kepler-1441 b,2.2754822,1.31157,39.441984,0.22671595,537.09828,5802.0,1.0153121,1.0,1.0,0.01,0,0.0001109413,4.0207404e-05,7.07339e-05
HN Peg b,6991.8029,11.78171,,773.0,9.6584895,5974.0,1.2342871,1.04,1.1,-0.02,0,0.00011072965,1.6114032e-05,9.4615614e-05
Kepler-11 b,1.906968,1.80481,10.3039,0.091092138,851.80635,5663.0,1.0353487,1.06,0.96,-0.041,0,0.00011061526,5.6565394e-05,5.4049866e-05
GJ 163 b,10.599564,3.2461593,8.63182,0.060861735,386.88117,3500.0,0.019619483,0.382,0.4,0.1,0,0.000110596244,5.291465e-05,5.7681595e-05
Kepler-782 b,10.378222,3.20606,158.68533,0.56965179,344.3413,5867.0,1.0829184,1.01,0.98,-0.14,0,0.00011035726,6.719807e-05,4.3159194e-05
Kepler-529 c,4.6394796,1.99538,12.834502,0.10970426,864.89034,6087.0,1.598496,1.14,1.07,-0.1,0,0.0001101635,3.660123e-05,7.356227e-05
Kepler-529 b,4.1210313,1.86086,1.9803577,0.031559726,1612.524,6087.0,1.598496,1.14,1.07,-0.1,0,0.0001101635,3.660123e-05,7.356227e-05
Kepler-505 b,7.2749643,2.60072,27.52198,0.14613365,329.97644,3931.0,0.060096968,0.53,0.55,-0.19,0,0.0001098073,3.3138094e-05,7.66692e-05
Kepler-834 b,4.7283306,2.0178,13.323883,0.097640377,521.87602,4554.0,0.16786054,0.66,0.7,-0.13,0,0.00010979148,3.8123853e-05,7.166763e-05
Kepler-813 b,5.2293105,2.14111,19.129473,0.1375792,658.14407,5743.0,0.84296552,0.93,0.95,-0.13,0,0.00010926429,3.270363e-05,7.656067e-05
Kepler-947 b,5.7992597,2.27563,26.964432,0.16987048,549.42912,5508.0,0.62416998,0.87,0.9,-0.07,0,0.000107762906,2.9692988e-05,7.806992e-05
91 Aqr b,1017.0496,13.079797,181.4,0.70025515,815.07247,4665.0,51.342925,11.0,1.4,-0.03,0,0.00010732764,2.6033382e-05,8.129426e-05
Kepler-97 b,3.496108,1.47972,2.58664,0.036116819,1326.869,5779.0,0.95973554,0.98,0.94,-0.2,0,0.000107242915,7.095861e-05,3.6284302e-05
WASP-183 b,159.54966,16.4787,4.1117771,0.04632,1014.921,5313.0,0.54036401,0.87,0.78,-0.31,0,0.000107143205,5.6767054e-05,5.0376155e-05
Kepler-646 b,4.6394796,1.99538,15.873646,0.12062991,682.06711,5634.0,0.74754751,0.91,0.93,-0.07,0,0.00010708417,3.545119e-05,7.1632974e-05
HIP 109600 b,851.77905,13.182254,232.08,0.71537886,277.61524,5530.0,0.70747032,,0.87,-0.12,0,0.0001070409,3.3036296e-05,7.40046e-05
K2-252 b,3.6681895,1.73755,13.81513,0.1041,637.34486,5152.0,0.42444338,0.82,0.79,-0.09,0,0.00010688497,5.909042e-05,4.7794547e-05
Kepler-825 c,4.0370889,1.83844,8.1818246,0.080233439,966.41093,5976.0,1.3328415,1.08,1.03,-0.08,0,0.000106702115,3.54512e-05,7.125091e-05
Kepler-946 b,4.3771005,1.92812,11.791626,0.099296659,764.17204,5665.0,0.79809428,0.93,0.94,-0.09,0,0.000106702115,3.54512e-05,7.125091e-05
Kepler-60 d,4.1603686,1.99538,11.8981,0.10331715,908.94172,5905.0,1.7294553,1.26,1.04,-0.09,0,0.000106702115,3.54512e-05,7.125091e-05
Kepler-761 b,4.773015,2.02901,10.128048,0.090039815,808.30082,5706.0,0.82145091,0.93,0.95,-0.09,0,0.000106702115,3.54512e-05,7.125091e-05
Kepler-868 b,4.8629026,2.05143,5.0325179,0.056086812,985.72122,5614.0,0.70494996,0.89,0.93,-0.08,0,0.000106702115,3.54512e-05,7.125091e-05
Kepler-832 b,4.9081044,2.06264,7.1396941,0.070559999,880.92056,5596.0,0.71167955,0.9,0.92,-0.08,0,0.000106702115,3.54512e-05,7.125091e-05
HD 4203 b,708.75645,13.289303,431.88,1.328184,266.81117,5596.0,1.7716428,1.42,1.25,0.4,0,0.0001064479,1.522266e-05,9.1225236e-05
K2-22 b,444.9592,2.49983,0.381078,0.0088,1358.6636,3830.0,0.062637361,0.57,0.6,0.03,0,0.00010640231,3.721315e-05,6.918916e-05
Kepler-1143 b,3.4303813,1.67029,2.8889048,0.036996449,1016.0889,5053.0,0.3463118,0.77,0.81,-0.06,0,0.0001062351,5.818417e-05,4.805093e-05
K2-184 b,3.011575,1.54698,16.995731,0.1229,579.64078,5220.0,0.40472484,0.78,0.86,-0.07,0,0.0001062351,5.818417e-05,4.805093e-05
Kepler-778 b,3.4695604,1.6815,3.7557443,0.044069207,940.01606,5102.0,0.35994149,0.77,0.81,-0.09,0,0.000105978776,5.8184185e-05,4.7794594e-05
Kepler-1191 b,2.9012671,1.51335,5.6001485,0.058449692,870.96235,5308.0,0.46664041,0.81,0.85,-0.08,0,0.000105978776,5.8184185e-05,4.7794594e-05
Kepler-758 d,5.1366839,2.11869,20.49662,0.15397506,833.65172,6228.0,2.7180645,1.42,1.16,-0.1,0,0.00010564285,3.1619726e-05,7.4023126e-05
HD 38801 b,3082.296,12.457004,685.25,1.6232345,263.13374,5338.0,2.9977472,2.03,1.21,0.25,0,0.000105252024,1.5051644e-05,9.020038e-05
HD 95089 c,1096.5066,13.036576,1785.0,3.4642922,266.36514,4918.0,13.526024,5.08,1.54,,0,0.000105252024,1.5051644e-05,9.020038e-05
Kepler-1324 b,2.9012671,1.51335,4.1158447,0.046257313,836.28175,4776.0,0.24842291,0.73,0.78,0.05,0,0.00010522312,6.357008e-05,4.165304e-05
Kepler-78 b,3.17828,1.121,0.35500744,0.0092560906,2019.1396,5089.0,0.33801889,0.75,0.84,-0.14,0,0.000105150284,7.091512e-05,3.4235163e-05
HD 102365 b,15.8914,4.1205931,122.1,0.486588,323.00689,5630.0,0.56330155,,0.85,-0.26,0,0.00010489835,5.513993e-05,4.9758415e-05
Kepler-1499 b,1.8034186,1.18826,44.2008,0.22894664,414.67883,5097.0,0.36790559,0.78,0.82,-0.01,0,0.00010467634,3.7936836e-05,6.673951e-05
Kepler-214 c,5.1829123,2.1299,28.7798,0.194,717.29509,6169.0,2.3649135,1.35,,,0,0.00010453948,2.0235237e-05,8.430424e-05
24 Boo b,289.22348,13.823874,30.3506,0.19016758,1613.7579,4893.0,58.139697,10.64,0.99,-0.77,0,0.000104264385,5.8316164e-05,4.5948218e-05
GJ 685 b,9.000889,2.9481483,24.16,0.1344,337.14963,3816.0,0.055399983,0.54,0.55,-0.15,0,0.00010361607,3.817503e-05,6.544104e-05
Kepler-632 b,5.5112567,2.20837,30.996607,0.18709671,497.04821,5322.0,0.50716199,0.84,0.91,0.11,0,0.00010355338,2.0044361e-05,8.350902e-05
Kepler-132 e,1.7431784,1.17705,110.28694,,,6003.0,1.6200411,1.18,,,0,0.00010271673,4.863499e-05,5.4081742e-05
Kepler-1336 b,4.5953145,1.98417,23.198681,0.15590536,701.56422,5512.0,1.3976943,1.3,0.94,0.05,0,0.00010265842,2.075477e-05,8.190365e-05
Kepler-833 b,4.7283306,2.0178,18.7547,0.11902631,436.49682,4339.0,0.12207609,0.62,0.64,-0.18,0,0.0001026502,3.549018e-05,6.716002e-05
Kepler-343 c,4.7283306,2.0178,23.22182,0.167,748.99459,5807.0,2.0833778,1.43,,,0,0.00010263391,2.0235275e-05,8.2398634e-05
Kepler-520 b,3.3913851,1.65908,19.674161,0.14719892,733.09686,6112.0,1.4855081,1.09,1.1,-0.03,0,0.000102593614,2.8581986e-05,7.401163e-05
Kepler-1260 b,3.7895405,1.77118,19.118775,0.14264336,722.97335,5961.0,1.3195099,1.08,1.06,0.01,0,0.000102593614,2.8581986e-05,7.401163e-05
Kepler-1178 b,1.2177294,1.06495,31.80634,0.18234003,446.07433,4990.0,0.31247362,0.75,0.8,-0.05,0,0.0001025563,3.7936916e-05,6.461939e-05
Kepler-184 c,4.5513229,1.97296,20.303005,0.141,633.71745,5788.0,0.76109916,0.87,,,0,0.00010244912,2.071244e-05,8.173668e-05
Kepler-797 b,5.369523,2.17474,27.072377,0.17402738,584.94957,5680.0,0.84164549,0.95,0.96,-0.02,0,0.00010227121,2.1747686e-05,8.0523525e-05
Kepler-1605 b,1.2643012,1.07616,85.75655,0.36184335,350.34637,5280.0,0.46822224,0.82,0.86,-0.01,0,0.000102010046,4.9317972e-05,5.269207e-05
K2-80 b,4.6838183,2.00659,19.0918,0.135,608.81948,5441.0,0.59434971,0.87,0.9,,0,0.000101955986,2.061274e-05,8.134325e-05
HAT-P-13 c,4538.5839,12.246714,446.27,1.4881528,272.95182,5653.0,2.2266594,1.56,1.22,0.41,0,0.000101556005,1.5737098e-05,8.581891e-05
Kepler-215 d,6.2925768,2.38773,30.864423,0.185,596.87865,5739.0,1.0311171,1.03,,,0,0.000101354955,1.9618807e-05,8.173615e-05
Kepler-164 d,6.5964694,2.45499,28.986769,0.187,643.59549,5888.0,1.4241493,1.15,,,0,0.000101354955,1.9618807e-05,8.173615e-05
K2-254 c,5.4165988,2.18595,12.11839,0.0923,549.71907,4629.0,0.18466601,0.67,0.71,-0.14,0,0.00010084911,4.2781365e-05,5.806774e-05
BD+15 2375 b,337.21551,13.730809,153.22,0.57600029,807.74977,4649.0,33.525318,8.95,1.08,-0.22,0,0.00010069515,6.340356e-05,3.7291593e-05
HD 32518 b,966.19713,13.10935,157.54,0.5900295,840.19341,4580.0,41.176777,10.22,1.13,-0.15,0,0.00010069515,6.340356e-05,3.7291593e-05
Kepler-1404 b,4.6838183,2.00659,15.931474,0.11688891,606.65771,5261.0,0.4392804,0.8,0.84,-0.09,0,0.00010067645,3.3449207e-05,6.722724e-05
K2-229 c,4.773015,2.02901,8.32727,0.0769,750.88031,5315.0,0.44622706,0.79,0.87,-0.09,0,0.00010067645,3.3449207e-05,6.722724e-05
Kepler-801 b,4.6394796,1.99538,11.419283,0.086821451,526.58375,4435.0,0.1375765,0.63,0.67,-0.17,0,0.00010063812,4.1081716e-05,5.955641e-05
Kepler-60 b,4.1889731,1.71513,7.1334,0.073460135,1077.9445,5905.0,1.7294553,1.26,1.04,-0.09,0,0.000100537545,3.3403056e-05,6.713449e-05
K2-241 b,7.010777,2.54467,26.8199,0.1567,507.41587,5262.0,0.38637992,0.75,0.71,-0.44,0,0.000100195604,5.2555006e-05,4.76406e-05
Kepler-887 b,4.0370889,1.83844,20.422288,0.15491548,787.83581,6194.0,2.1945873,1.29,1.19,0.08,0,0.00010008911,2.0235326e-05,7.985379e-05
Kepler-1370 b,4.0370889,1.83844,20.264168,0.15411482,790.89983,6202.0,2.2059472,1.29,1.19,0.05,0,0.00010008911,2.0235326e-05,7.985379e-05
KOI-1599.01,4.5989712,1.9057,20.4415,0.14729443,,,,0.97,1.02,,0,0.00010008911,2.0235326e-05,7.985379e-05
Kepler-1136 b,3.3139434,1.63666,2.3617243,0.031100916,929.93807,4512.0,0.17170496,0.68,0.72,0.03,0,0.000100014964,5.992883e-05,4.008613e-05
K2-68 b,3.123569,1.58061,8.05428,0.0708,648.30987,4746.0,0.21019259,0.68,0.73,,0,0.000100014964,5.992883e-05,4.008613e-05
HR 858 d,5.3226161,2.16353,11.23,0.10672584,971.30416,6201.0,2.2734121,1.31,1.15,-0.14,0,9.999025e-05,4.079315e-05,5.9197097e-05
HR 858 b,4.999023,2.08506,3.58599,0.05016,1419.6786,6201.0,2.2734121,1.31,1.15,-0.14,0,9.999025e-05,4.079315e-05,5.9197097e-05
Kepler-1655 b,4.9994345,2.20837,11.872879,0.103,856.94102,6148.0,1.3579961,1.03,1.03,-0.24,0,9.999025e-05,4.079315e-05,5.9197097e-05
Kepler-518 b,5.0906262,2.10748,8.5120359,0.080467826,851.5474,5842.0,0.8081653,0.88,0.96,-0.23,0,9.999025e-05,4.079315e-05,5.9197097e-05
Kepler-1273 b,6.7506189,2.48862,28.625653,0.1793587,552.61128,5566.0,0.71210533,0.91,0.94,0.03,0,9.9718054e-05,1.9439542e-05,8.0278514e-05
Kepler-184 d,6.7506189,2.48862,29.022358,0.179,562.44324,5788.0,0.76109916,0.87,,,0,9.9718054e-05,1.9439542e-05,8.0278514e-05
Kepler-112 c,6.3428164,2.39894,28.574263,0.172,540.0273,5544.0,0.59722792,0.84,,,0,9.970717e-05,2.0081483e-05,7.9625686e-05
Kepler-204 c,3.871341,1.7936,25.660593,0.173,685.85209,5812.0,1.5719345,1.24,,,0,9.9492405e-05,2.907457e-05,7.041783e-05
rho CrB b,332.09848,13.74005,39.8458,0.21975276,617.17665,5627.0,1.6613997,1.36,0.89,-0.31,0,9.9459285e-05,4.0023548e-05,5.9435737e-05
Kepler-370 c,4.2910395,1.9057,19.02293,0.14,654.00132,5852.0,0.85112027,0.9,,,0,9.9404264e-05,2.0096853e-05,7.930741e-05
Kepler-347 c,3.7084594,1.74876,27.320871,0.183,627.28683,6088.0,1.2307992,1.0,,,0,9.925754e-05,2.6594418e-05,7.266312e-05
Kepler-270 c,3.7895405,1.77118,25.262887,0.18,761.60755,6067.0,2.5875595,1.46,,,0,9.925754e-05,2.6594418e-05,7.266312e-05
Kepler-1209 b,2.9012671,1.51335,25.369116,0.18100122,755.80101,6210.0,2.5375419,1.38,1.23,0.12,0,9.925754e-05,2.6594418e-05,7.266312e-05
HD 20781 c,5.3395104,2.167572,13.8905,0.10080662,694.71983,5256.0,0.55848037,,0.7,-0.11,0,9.9170495e-05,4.427978e-05,5.4890716e-05
Kepler-196 b,4.2910395,1.9057,20.739886,0.138,537.36929,5128.0,0.376938,0.78,,,0,9.914499e-05,2.004445e-05,7.9100544e-05
Kepler-185 c,4.7283306,2.0178,20.729042,0.139,554.14466,5208.0,0.43245666,0.81,,,0,9.914499e-05,2.004445e-05,7.9100544e-05
Kepler-261 c,4.6394796,1.99538,24.570858,0.156,505.67112,5098.0,0.3776958,0.79,,,0,9.914499e-05,2.004445e-05,7.9100544e-05
Kepler-243 c,4.6394796,1.99538,20.026218,0.142,560.46451,5228.0,0.4722691,0.84,,,0,9.914499e-05,2.004445e-05,7.9100544e-05
Kepler-1388 c,5.7508411,2.26442,5.5360815,0.05249179,615.75543,4098.0,0.094023439,0.61,0.63,0.02,0,9.8896824e-05,3.9947263e-05,5.894956e-05
Kepler-47 b,2.0690603,3.04912,49.4643,0.28776344,,,,0.94,0.96,,0,9.8754914e-05,2.9294944e-05,6.945997e-05
Kepler-51 b,2.224796,7.09593,45.154,0.25160112,512.86977,6018.0,1.0383723,0.94,1.04,,0,9.8754914e-05,2.9294944e-05,6.945997e-05
Kepler-1243 b,3.7084594,1.74876,16.832073,0.1267725,680.1766,5667.0,0.81650191,0.94,0.96,0.01,0,9.871775e-05,3.3085187e-05,6.563256e-05
K2-141 b,5.0788915,1.51335,0.2803244,0.0074765787,1933.2298,4599.0,0.18533614,0.68,0.71,-0.06,0,9.8694654e-05,3.5031215e-05,6.366344e-05
HD 7924 d,6.4391953,2.4203436,24.451,0.15851995,505.76542,5131.0,0.37782084,0.78,0.65,-0.21,0,9.797897e-05,3.73625e-05,6.061647e-05
HD 216536 b,333.7194,13.737106,148.60001,0.654042,813.15416,4639.0,40.095273,9.83,0.81,-0.17,0,9.7665776e-05,6.1496066e-05,3.6169706e-05
HD 94834 b,400.46328,13.627346,1576.0,2.766852,261.51215,4798.0,8.3758367,4.2,1.11,,0,9.765419e-05,1.5051759e-05,8.260243e-05
Kepler-676 b,9.4710941,3.03791,11.598222,0.080099023,403.47867,3701.0,0.040360557,0.49,0.51,-0.02,0,9.757803e-05,4.8045844e-05,4.9532184e-05
Kepler-1314 b,22.913624,5.11176,5.4247493,0.050950261,628.16906,4188.0,0.09594434,0.59,0.6,-0.22,0,9.734981e-05,4.134065e-05,5.600916e-05
K2-46 b,4.8629026,2.05143,19.1541,0.13821,842.43991,6256.0,2.283784,1.29,0.96,,0,9.7114396e-05,1.9633919e-05,7.748048e-05
Kepler-176 e,2.685755,1.44609,51.16579,,,5232.0,0.53178931,0.89,,,0,9.710436e-05,4.597761e-05,5.1126757e-05
GJ 3470 b,13.898619,4.57368,3.3366496,0.0355,624.57808,3600.0,0.045522282,0.55,0.54,0.2,0,9.698188e-05,4.804587e-05,4.893601e-05
K2-222 b,6.2925768,2.38773,15.387063,0.1211,801.10145,6058.0,1.4337014,1.09,1.0,-0.21,0,9.6944204e-05,3.9550454e-05,5.7393754e-05
K2-224 c,6.3932195,2.41015,10.09489,0.0886,762.73938,5620.0,0.63065593,0.84,0.91,-0.19,0,9.6944204e-05,3.9550454e-05,5.7393754e-05
Kepler-877 b,5.1366839,2.11869,18.458471,0.12945327,580.05793,5261.0,0.45033105,0.81,0.85,-0.06,0,9.690788e-05,2.8896682e-05,6.80112e-05
K2-123 b,8.0359058,2.75766,30.951524,0.1649,336.41573,4035.0,0.082673596,0.59,0.62,0.03,0,9.681621e-05,2.2117878e-05,7.4698335e-05
Kepler-948 b,4.0789714,1.84965,7.7684662,0.075710623,882.01192,5679.0,0.82343975,0.94,0.96,-0.02,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1479 b,3.9953845,1.82723,14.532614,0.11613161,742.1356,5796.0,0.97107842,0.98,0.99,-0.02,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-962 b,4.5513229,1.97296,12.057072,0.10042268,706.59804,5478.0,0.59672421,0.86,0.93,0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1534 b,4.2482729,1.89449,5.7166887,0.060397656,905.13798,5442.0,0.58119209,0.86,0.9,-0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1133 b,4.5513229,1.97296,11.555623,0.09761865,745.33093,5569.0,0.69804358,0.9,0.93,-0.02,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-523 b,4.5075054,1.96175,5.8359831,0.061907969,906.02157,5515.0,0.61301008,0.86,0.93,-0.03,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1061 b,4.5953145,1.98417,2.7579827,0.0396016,1390.0377,6067.0,1.3897996,1.07,1.09,-0.03,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1078 b,4.2910395,1.9057,3.0072524,0.039933014,1187.3058,5612.0,0.75220281,0.92,0.94,-0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1225 b,3.9538581,1.81602,7.0107543,0.074652703,1080.5283,6140.0,1.8032505,1.19,1.13,0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-771 b,3.9538581,1.81602,8.7348584,0.083809364,921.42267,5906.0,1.2018244,1.05,1.03,0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-804 b,4.4203935,1.93933,14.374574,0.11605931,771.20668,5817.0,1.1310023,1.05,1.01,0.0,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-958 b,4.9081044,2.06264,9.7678805,0.086641025,752.80746,5421.0,0.5722729,0.86,0.91,0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1262 b,3.9538581,1.81602,8.6790024,0.082357122,877.46662,5771.0,0.95443223,0.98,0.99,-0.02,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1306 b,4.2910395,1.9057,16.295954,0.12492177,703.41409,5727.0,0.90686125,0.97,0.98,0.0,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-683 b,4.5513229,1.97296,2.5391832,0.035924934,1292.6598,5703.0,0.8553608,0.95,0.96,-0.03,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-710 b,4.2056823,1.88328,4.3472855,0.051054138,1044.1492,5611.0,0.73541504,0.91,0.94,-0.04,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-1305 b,4.2056823,1.88328,13.563097,0.11015547,741.82369,5701.0,0.87223855,0.96,0.97,0.01,0,9.680787e-05,2.5174157e-05,7.163371e-05
Kepler-992 b,3.2754986,1.62545,20.160345,0.13454623,511.0644,4944.0,0.29313382,0.74,0.8,-0.04,0,9.679998e-05,2.6967933e-05,6.983205e-05
HAT-P-12 b,67.061709,10.75039,3.2130598,0.0384,875.09143,4650.0,0.20525632,0.7,0.73,-0.29,0,9.636725e-05,4.8876158e-05,4.7491092e-05
Kepler-1424 b,1.6270695,1.15463,29.609174,0.18850686,613.06916,5838.0,1.1915508,1.07,1.02,0.01,0,9.632361e-05,4.0207993e-05,5.6115616e-05
Kepler-137 c,4.2056823,1.88328,18.735753,0.13,567.16136,5187.0,0.41508172,0.8,,,0,9.619833e-05,1.9448715e-05,7.674962e-05
HD 42618 b,14.400787,3.888344,149.61,0.5639997,338.3763,5727.0,0.96382321,1.0,1.01,-0.09,0,9.590777e-05,5.8399575e-05,3.75082e-05
K2-21 c,6.7506189,2.48862,15.50192,0.10935935,457.39868,4222.06,0.12028541,0.65,0.68,,0,9.5884185e-05,3.8730373e-05,5.7153815e-05
BD+48 738 b,289.22348,13.823874,392.6,1.02,643.64774,4414.0,41.153174,11.0,0.74,-0.2,0,9.578861e-05,4.2942716e-05,5.2845888e-05
Kepler-364 b,3.011575,1.54698,25.745718,0.178,721.95659,6108.0,2.0431709,1.28,,,0,9.575077e-05,2.6594513e-05,6.915626e-05
Kepler-1478 b,3.6281006,1.72634,26.084059,0.17435623,641.64914,5904.0,1.223167,1.06,1.04,0.03,0,9.575077e-05,2.6594513e-05,6.915626e-05
Kepler-508 b,3.3139434,1.63666,25.308897,0.17721931,705.29955,6025.0,1.8447473,1.25,1.16,0.18,0,9.575077e-05,2.6594513e-05,6.915626e-05
Kepler-881 b,3.8303511,1.78239,4.4444802,0.053929388,1181.2361,5961.0,1.3440584,1.09,1.06,0.0,0,9.547133e-05,4.1420644e-05,5.4050684e-05
Kepler-1003 b,3.8303511,1.78239,3.5548569,0.047188042,1340.8005,6109.0,1.7082085,1.17,1.11,0.01,0,9.547133e-05,4.1420644e-05,5.4050684e-05
