name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
Kepler-1537 b,Confirmed,0.37,0.105,1.4444538,0.102,0.062,Primary Transit,Kepler-1537,0.81,0.77,5079.0,-0.08,503.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1538 b,Confirmed,0.37,0.252,175.138819,0.102,0.062,Primary Transit,Kepler-1538,1.03,1.03,5837.0,0.02,1291.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1539 b,Confirmed,0.37,0.241,133.3036741,0.102,0.062,Primary Transit,Kepler-1539,0.84,0.8,5176.0,-0.01,788.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-153 b,Confirmed,0.37,0.261,18.870227,0.129,0.062,Primary Transit,Kepler-153,0.95,0.89,5404.0,-0.255,465.53,Unknown,2014,2021-02-05,Announced on a website
Kepler-153 c,Confirmed,0.37,0.226,46.90232,0.237,0.062,Primary Transit,Kepler-153,0.95,0.89,5404.0,-0.255,465.53,Unknown,2014,2021-02-05,Announced on a website
Kepler-1540 Ab,Confirmed,0.37,0.2801,125.4132302,0.4426,0.0,Primary Transit,Kepler-1540 A,0.676,0.695,4323.0,0.1,244.96,K7V,2016,2024-08-02,Announced on a website
Kepler-1541 b,Confirmed,0.37,0.103,8.40691199,0.102,0.062,Primary Transit,Kepler-1541,0.86,0.81,5282.0,-0.04,414.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1542 Ab,Confirmed,0.37,0.068,3.95116882,0.102,0.062,Primary Transit,Kepler-1542 A,0.94,0.99,5564.0,0.06,336.0,G5V,2016,2025-02-26,Announced on a website
Kepler-1542 Ac,Confirmed,0.37,0.066985,2.89223021,0.102,0.062,Primary Transit,Kepler-1542 A,0.94,0.99,5564.0,0.06,336.0,G5V,2016,2025-02-26,Announced on a website
Kepler-1542 Ad,Confirmed,0.37,0.078,5.99273738,0.102,0.062,Primary Transit,Kepler-1542 A,0.94,0.99,5564.0,0.06,336.0,G5V,2016,2025-02-26,Announced on a website
Kepler-1542 Ae,Confirmed,0.37,0.068,5.10115756,0.102,0.062,Primary Transit,Kepler-1542 A,0.94,0.99,5564.0,0.06,336.0,G5V,2016,2025-02-26,Announced on a website
Kepler-1543 b,Confirmed,0.37,0.242,6.96710269,0.102,0.062,Primary Transit,Kepler-1543,1.39,1.65,6561.0,0.07,1114.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1544 b,Confirmed,0.37,0.159,168.811174,0.102,0.062,Primary Transit,Kepler-1544,0.81,0.74,4886.0,0.02,349.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1545 b,Confirmed,0.37,0.241,163.692349,0.102,0.062,Primary Transit,Kepler-1545,0.84,0.8,5201.0,-0.06,688.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1546 b,Confirmed,0.37,0.279,19.5974971,0.102,0.062,Primary Transit,Kepler-1546,0.95,0.93,5623.0,0.01,994.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1547 b,Confirmed,0.37,0.08,0.69297968,0.102,0.062,Primary Transit,Kepler-1547,1.12,1.18,6078.0,0.04,665.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1548 b,Confirmed,0.37,0.236,124.828679,0.102,0.062,Primary Transit,Kepler-1548,0.99,0.97,5706.0,0.05,1150.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-1549 b,Confirmed,0.37,0.229,214.886545,0.102,0.062,Primary Transit,Kepler-1549,0.88,0.84,5324.0,0.02,792.0,Unknown,2016,2021-02-05,Announced on a website
Kepler-154 b,Confirmed,0.37,0.202,33.040532,0.198,0.062,Primary Transit,Kepler-154,0.89,1.0,5690.0,-0.391,939.89,Unknown,2014,2021-02-05,Announced on a website
Kepler-154 c,Confirmed,0.37,0.263,62.303276,0.303,0.062,Primary Transit,Kepler-154,0.89,1.0,5690.0,-0.391,939.89,Unknown,2014,2021-02-05,Announced on a website
Kepler-154 d,Confirmed,0.37,0.343,20.54981883,0.102,0.062,Primary Transit,Kepler-154,0.89,1.0,5690.0,-0.391,939.89,Unknown,2016,2021-02-05,Announced on a website
Kepler-154 e,Confirmed,0.37,0.134,3.93276465,0.102,0.062,Primary Transit,Kepler-154,0.89,1.0,5690.0,-0.391,939.89,Unknown,2016,2021-02-05,Announced on a website
Kepler-154 f,Confirmed,0.37,0.134,9.91935684,0.102,0.062,Primary Transit,Kepler-154,0.89,1.0,5690.0,-0.391,939.89,Unknown,2016,2021-02-05,Announced on a website
