name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,detection_type,star_name,star_mass,star_radius,star_teff,star_metallicity,star_distance,star_sp_type,discovered,updated,publication
109 Psc b,Confirmed,5.743,1.152,1075.4,2.051,0.104,"Radial Velocity, Astrometry",109 Psc,1.13,1.79,5600.0,0.1,32.56,G5 IV,2000,2024-06-14,Published in a refereed paper
112 Psc b,Confirmed,0.37,0.219,4.4,0.054,0.376,Radial Velocity,112 Psc,1.1,1.801,5986.0,0.31,31.7627,G0IV,2022,2024-06-14,Published in a refereed paper
112 Psc c,Confirmed,9.866,0.219,6979.699999999986,13.465749999999817,0.174,"Radial Velocity, Astrometry",112 Psc,1.1,1.801,5986.0,0.31,31.7627,G0IV,2022,2024-06-14,Published in a refereed paper
11 UMi b,Confirmed,0.37,0.219,516.22,1.54,0.08,Radial Velocity,11 UMi,1.8,24.08,4340.0,0.04,119.5,K4III,2009,2023-03-03,Published in a refereed paper
14 And Ab,Confirmed,0.37,0.219,185.84,0.83,0.0,Radial Velocity,14 And A,2.2,11.0,4813.0,-0.24,76.4,K0III,2008,2024-07-30,Published in a refereed paper
14 Her b,Confirmed,8.9,0.219,1767.56,2.839,0.3683,"Radial Velocity, Astrometry",14 Her,0.9,0.708,5311.0,0.43,18.1,K0 V,2002,2025-06-12,Published in a refereed paper
14 Her c,Confirmed,7.9,0.219,6979.699999999986,13.465749999999817,0.52,"Radial Velocity, Astrometry, Imaging",14 Her,0.9,0.708,5311.0,0.43,18.1,K0 V,2006,2025-06-12,Submitted to a professional journal
16 Cyg Bb,Confirmed,0.37,0.219,799.5,1.68,0.689,Radial Velocity,16 Cyg B,1.01,0.98,5766.0,0.08,21.41,G2.5 V,1996,2024-07-28,Published in a refereed paper
18 Del Ab,Confirmed,0.37,0.219,993.3,2.6,0.08,Radial Velocity,18 Del A,2.3,8.5,4979.0,-0.052,73.1,G6III,2008,2024-08-02,Published in a refereed paper
23 Lib b,Confirmed,0.37,0.219,258.19,0.81,0.233,Radial Velocity,23 Lib,1.07,1.25,5740.0,0.25,22.2,G5 V,1999,2024-05-28,Published in a refereed paper
23 Lib c,Confirmed,0.37,0.219,5000.0,5.8,0.12,Radial Velocity,23 Lib,1.07,1.25,5740.0,0.25,22.2,G5 V,2009,2024-05-28,Published in a refereed paper
24 Boo b,Confirmed,0.37,0.219,30.3506,0.19,0.042,Radial Velocity,24 Bo&ouml;,0.99,10.64,4893.0,-0.77,100.0,G3IV,2018,2023-08-07,Published in a refereed paper
24 Sex b,Confirmed,0.37,0.219,452.8,1.333,0.09,Radial Velocity,24 Sex,1.54,4.9,5098.0,-0.03,72.2084,G5,2010,2021-10-02,Published in a refereed paper
24 Sex c,Confirmed,0.37,0.219,883.0,2.08,0.29,Radial Velocity,24 Sex,1.54,4.9,5098.0,-0.03,72.2084,G5,2010,2021-10-02,Published in a refereed paper
2M 1253+2734 b,Confirmed,0.37,0.219,24.31,0.102,0.681,Radial Velocity,2M 1253+2734,0.95,0.96,5540.0,,395.297,Unknown,2021,2022-02-08,Published in a refereed paper
2M1510 (AB)b,Confirmed,0.031,0.219,100.0,0.102,0.062,Radial Velocity,2M1510(AB),0.066,0.96,5540.0,,35.51,Unknown,2025,2025-04-18,Published in a refereed paper
2MASS J0437+2651 b,Confirmed,4.0,0.219,10.924709,13.465749999999817,0.062,Imaging,2MASS J0437+2651,0.0165,0.84,3100.0,0.01,128.1,M4V,2021,2024-07-17,Published in a refereed paper
2MASS J0558-4501 b,Confirmed,9.0,0.219,10.924709,13.465749999999817,0.062,Imaging,2MASS J0558-4501,0.95,0.96,5540.0,,395.297,M4V,2024,2025-02-06,Published in a refereed paper
2MASS J1155-7919 b,Confirmed,9.885799999999952,0.219,10.924709,13.465749999999817,0.062,Astrometry,2MASS J1155-7919,0.95,0.96,5540.0,,101.15,M3,2020,2025-05-27,Published in a refereed paper
2MASS J1252+2735 b,Confirmed,0.37,0.219,35.08,0.102,0.0,Radial Velocity,2MASS J1252+2735,0.95,0.96,5540.0,,197.2,G8IV,2021,2024-07-17,Published in a refereed paper
2MASS J1258+2630 b,Confirmed,0.37,0.219,11.88,0.102,0.598,Radial Velocity,2MASS J1258+2630,0.5898,0.602,3825.0,,58.5849,M1.3V,2021,2024-07-17,Published in a refereed paper
2MASS J2236+4751 b,Confirmed,9.885799999999952,0.219,10.924709,13.465749999999817,0.062,Imaging,2MASS J2236+4751,0.6,0.96,5540.0,,63.0,K7V,2016,2024-07-17,Published in a refereed paper
38 Vir b,Confirmed,0.37,0.219,825.9,1.82,0.03,Primary Transit,38 Vir,1.18,1.45,6557.0,0.07,395.297,F6 V,2016,2017-02-20,Published in a refereed paper
41 Com Ab,Confirmed,0.37,0.219,610.2,1.6,0.28,Radial Velocity,41 Com,1.49,25.11,4181.0,0.13,102.0,K5III,2017,2024-08-01,Published in a refereed paper
44 Uma b,Confirmed,0.37,0.219,785.74,2.16,0.11,Radial Velocity,44 Uma,2.19,45.12,4215.0,-0.21,200.4,K3 III,2020,2020-10-26,Published in a refereed paper
47 UMa b,Confirmed,0.37,0.219,1078.0,2.1,0.032,Radial Velocity,47 UMa,1.03,1.24,5892.0,0.0,13.97,G0V,1996,2024-07-20,Published in a refereed paper
47 UMa c,Confirmed,0.37,0.219,2391.0,3.6,0.098,Radial Velocity,47 UMa,1.03,1.24,5892.0,0.0,13.97,G0V,2001,2024-07-20,Published in a refereed paper
47 UMa d,Confirmed,0.37,0.219,6979.699999999986,11.6,0.16,Radial Velocity,47 UMa,1.03,1.24,5892.0,0.0,13.97,G0V,2010,2024-07-20,Published in a refereed paper
51 Eri Ab,Confirmed,4.1,1.11,6979.699999999986,11.1,0.49,Imaging,51 Eri A,1.75,0.96,5540.0,-0.027,29.4,F0IV,2015,2025-03-25,Published in a refereed paper
51 Peg b,Confirmed,0.47,1.65,4.2308,0.052,0.0069,Radial Velocity,51 Peg,1.03,1.176,5758.0,0.18,15.4614,G2IV-V,1995,2024-09-01,Published in a refereed paper
54 Psc b,Confirmed,0.23,0.219,62.25,0.295,0.645,Radial Velocity,54 Psc,0.79,0.947,5173.0,0.05,11.0,K0 V,2003,2024-05-28,Published in a refereed paper
55 Cnc Ab,Confirmed,0.84,0.219,14.65314,0.11339,0.0023,Radial Velocity,55 Cnc A,0.9,0.963,5250.0,0.35,12.5855,K0V,1996,2024-06-19,Published in a refereed paper
55 Cnc Ac,Confirmed,0.37,0.219,44.373,0.23735,0.072,Radial Velocity,55 Cnc A,0.9,0.963,5250.0,0.35,12.5855,K0V,2002,2024-06-19,Published in a refereed paper
55 Cnc Ad,Confirmed,0.37,0.219,5574.2,5.446,0.0269,Radial Velocity,55 Cnc A,0.9,0.963,5250.0,0.35,12.5855,K0V,2002,2024-06-19,Published in a refereed paper
55 Cnc Ae,Confirmed,0.02703,0.1737,0.7365478,0.015439,0.028,"Radial Velocity, Primary Transit",55 Cnc A,0.9,0.963,5250.0,0.35,12.5855,K0V,2004,2024-06-19,Published in a refereed paper
55 Cnc Af,Confirmed,0.37,0.219,260.91,0.7733,0.08,Radial Velocity,55 Cnc A,0.9,0.963,5250.0,0.35,12.5855,K0V,2007,2024-06-19,Published in a refereed paper
61 Vir b,Confirmed,0.37,0.219,4.215,0.050201,0.12,Radial Velocity,61 Vir,0.95,0.94,5531.0,-0.01,8.52,G5V,2009,2023-08-28,Published in a refereed paper
61 Vir c,Confirmed,0.37,0.219,38.021,0.2175,0.14,Radial Velocity,61 Vir,0.95,0.94,5531.0,-0.01,8.52,G5V,2009,2023-08-28,Published in a refereed paper
61 Vir d,Confirmed,0.37,0.219,123.01,0.476,0.35,Radial Velocity,61 Vir,0.95,0.94,5531.0,-0.01,8.52,G5V,2009,2023-08-28,Published in a refereed paper
6 Lyn b,Confirmed,0.37,0.219,934.3,2.11,0.073,Radial Velocity,6 Lyn,1.7,5.2,4978.0,-0.13,56.9,K0IV,2008,2021-04-11,Published in a refereed paper
70 Vir Ab,Confirmed,0.37,0.219,116.67,0.48,0.43,Radial Velocity,70 Vir A,0.92,1.968,5432.0,-0.11,22.0,G4 V,1996,2025-02-11,Published in a refereed paper
75 Cet Ab,Confirmed,0.37,0.219,696.6,1.912,0.093,Radial Velocity,75 Cet A,2.49,10.5,4846.0,0.0,81.5,G3III,2012,2024-08-02,Published in a refereed paper
75 Cet Ac,Confirmed,0.37,0.219,2052.0,3.929,0.023,Radial Velocity,75 Cet A,2.49,10.5,4846.0,0.0,81.5,G3III,2023,2024-07-31,Published in a refereed paper
79 Cet Ab,Confirmed,0.37,0.219,75.82,0.35,0.28,Radial Velocity,79 Cet A,1.01,1.0,5533.0,0.02,35.9,G5 IV,2000,2024-07-29,Published in a refereed paper
81 Cet b,Confirmed,0.37,0.219,952.7,2.5,0.206,Radial Velocity,81 Cet,2.4,11.0,5540.0,-0.06,97.2,G5III,2008,2014-08-27,Published in a refereed paper
82 Eri b,Confirmed,0.37,0.219,18.3142,0.1257,0.065,Radial Velocity,82 Eri,0.813,0.9,5490.0,-0.38,6.322375,G8V,2011,2024-11-04,Published in a refereed paper
82 Eri c,Confirmed,0.37,0.219,89.68,0.3625,0.077,Radial Velocity,82 Eri,0.813,0.9,5490.0,-0.38,6.322375,G8V,2011,2024-11-04,Published in a refereed paper
82 Eri d,Confirmed,0.37,0.219,647.6,1.354,0.45,Radial Velocity,82 Eri,0.813,0.9,5490.0,-0.38,6.322375,G8V,2011,2024-11-04,Published in a refereed paper
82 Eri e,Confirmed,0.37,0.219,147.02,0.509,0.29,Radial Velocity,82 Eri,0.813,0.9,5490.0,-0.38,6.322375,G8V,2017,2024-05-28,Published in a refereed paper
8 Umi b,Confirmed,0.37,0.219,93.31,0.462,0.062,Radial Velocity,8 Umi,1.8,9.9,4847.4,-0.03,159.1,K0,2015,2024-01-11,Published in a refereed paper
94 Cet Ab,Confirmed,0.37,0.219,466.2,1.305,0.063,Radial Velocity,94 Cet A,1.34,1.93,5984.0,0.25,22.38,F8 V,2003,2024-07-29,Published in a refereed paper
AB Aur b,Confirmed,9.0,0.219,10.924709,13.465749999999817,0.4,"Imaging, Other, Kinematic",AB Aur,2.4,0.96,5540.0,,144.0,A0V,2008,2024-08-19,Published in a refereed paper
AB Pic c,Confirmed,5.75,0.219,10.924709,3.571,0.062,Astrometry,AB Pic,0.95,0.96,5285.0,0.04,47.3,K2 V,2022,2025-01-28,Published in a refereed paper
AF Lep b,Confirmed,3.75,1.3,6979.699999999986,8.98,0.013,Imaging,AF Lep,1.2,1.25,6130.0,0.19,26.843,F8V,2023,2024-11-12,Published in a refereed paper
alf Ari b,Confirmed,0.37,0.219,380.8,1.2,0.25,Radial Velocity,alf Ari,1.5,13.9,4553.0,-0.09,20.2,K2III,2011,2011-04-18,Published in a refereed paper
AT2021uey b,Confirmed,1.34,0.219,4170.0,4.01,0.062,Microlensing,AT2021uey,0.49,0.96,3680.0,,1040.0,M1V,2025,2025-03-31,Published in a refereed paper
AU Mic b,Confirmed,0.028,0.4273,8.463446,0.07,0.07,Primary Transit,AU Mic,0.5,0.75,3700.0,,9.79,M1V,2020,2024-07-26,Published in a refereed paper
AU Mic c,Confirmed,0.0456,0.2248,18.859023,0.119,0.18,Primary Transit,AU Mic,0.5,0.75,3700.0,,9.79,M1V,2020,2025-05-26,Published in a refereed paper
AU Mic d,Confirmed,0.0052841500000000005,0.219,12.73812,0.102,0.00097,TTV,AU Mic,0.5,0.75,3700.0,,9.79,M1V,2022,2023-02-23,Published in a refereed paper
Barnard's star b,Confirmed,0.37,0.219,3.1542,0.02294,0.03,Radial Velocity,Barnard's star,0.162,0.185,3195.0,-0.56,6.322375,M4V,2024,2025-03-12,Published in a refereed paper
Barnard's star c,Confirmed,0.37,0.219,4.1244,0.0274,0.08,Radial Velocity,Barnard's star,0.162,0.185,3195.0,-0.56,6.322375,M4V,2024,2025-03-12,Published in a refereed paper
Barnard's star d,Confirmed,0.37,0.219,2.3402,0.0188,0.04,Radial Velocity,Barnard's star,0.162,0.185,3195.0,-0.56,6.322375,M4V,2024,2025-03-12,Published in a refereed paper
Barnard's star e,Confirmed,0.37,0.219,6.7392,0.0381,0.04,Radial Velocity,Barnard's star,0.162,0.185,3195.0,-0.56,6.322375,M4V,2024,2025-03-12,Published in a refereed paper
b Cen (AB)b,Confirmed,9.885799999999952,0.219,6979.699999999986,13.465749999999817,0.4,Imaging,b Cen (AB),5.5,0.96,5540.0,,99.7,B3V,2021,2025-03-20,Published in a refereed paper
BD+03 2562 b,Confirmed,0.37,0.219,481.9,1.3,0.2,Radial Velocity,BD+03 2562,1.14,32.35,4095.0,-0.71,2618.0,Unknown,2017,2017-06-30,Published in a refereed paper
BD-06 1339 c,Confirmed,0.37,0.219,125.94,0.435,0.31,Radial Velocity,BD-06 1339,0.7,0.96,4324.0,-0.14,20.0,K7V/M0V,2013,2021-04-11,Published in a refereed paper
BD-06 1339 d,Confirmed,0.37,0.219,487.0,1.06,0.02,Radial Velocity,BD-06 1339,0.7,0.96,4324.0,-0.14,20.0,K7V/M0V,2014,2021-04-11,Submitted to a professional journal
BD-06 1339 e,Confirmed,0.37,0.219,2.3946,0.03,0.03,Radial Velocity,BD-06 1339,0.7,0.96,4324.0,-0.14,20.0,K7V/M0V,2019,2024-05-28,Submitted to a professional journal
BD-08 2823 b,Confirmed,0.37,0.219,5.6,0.056,0.15,Radial Velocity,BD-08 2823,0.74,0.96,4746.0,-0.07,42.2,K3V,2009,2019-06-13,Published in a refereed paper
BD-08 2823 c,Confirmed,0.37,0.219,237.6,0.68,0.19,Radial Velocity,BD-08 2823,0.74,0.96,4746.0,-0.07,42.2,K3V,2009,2019-06-13,Published in a refereed paper
BD-10 3166 b,Confirmed,0.37,1.03,3.4878,0.046,0.0104,Radial Velocity,BD-10 3166,0.99,1.71,5400.0,0.5,66.0,G4 V,2000,2015-02-24,Published in a refereed paper
BD-11 4672 b,Confirmed,0.37,0.219,1634.0,2.36,0.05,Radial Velocity,BD-11 4672,0.571,0.52,4475.0,-0.48,27.3,K7V,2010,2020-06-26,Published in a refereed paper
BD-11 4672 c,Confirmed,0.37,0.219,74.2,0.3,0.4,Radial Velocity,BD-11 4672,0.571,0.52,4475.0,-0.48,27.3,K7V,2020,2020-06-26,Published in a refereed paper
BD+14 4559 b,Confirmed,0.37,0.219,268.94,0.777,0.29,Radial Velocity,BD+14 4559,0.86,0.96,5008.0,0.1,50.0,K2V,2009,2016-02-23,Published in a refereed paper
BD+15 2375 b,Confirmed,0.37,0.219,153.22,0.576,0.001,Radial Velocity,BD+15 2375,1.08,8.95,4649.0,-0.22,774.0,Unknown,2016,2016-03-21,Published in a refereed paper
BD+15 2940 b,Confirmed,0.37,0.219,137.48,0.539,0.26,Radial Velocity,BD+15 2940,1.1,14.7,4796.0,0.28,585.0,K0,2013,2013-04-30,Published in a refereed paper
BD-17 63 b,Confirmed,5.325,0.219,655.6,1.34,0.54,Radial Velocity,BD-17 63,0.74,0.69,4714.0,-0.03,34.6,K5V,2008,2024-06-29,Published in a refereed paper
BD+20 2457 c,Confirmed,0.37,0.219,621.99,2.01,0.18,Radial Velocity,BD+20 2457,2.8,0.96,4127.0,-1.0,1670.0,K2II,2009,2016-02-23,Published in a refereed paper
BD+20 274 b,Confirmed,0.37,0.219,578.2,1.3,0.21,Other,BD+20 274,0.8,17.3,4296.0,-0.46,395.297,K5,2010,2021-04-11,Announced on a professional conference
BD+20 594 b,Confirmed,0.07,0.23,41.6855,0.241,0.0,Primary Transit,BD+20 594,1.67,1.08,5766.0,-0.15,180.39,G,2016,2021-02-05,Published in a refereed paper
BD-21 397 c,Confirmed,4.8,0.219,6240.0,5.9,0.43,"Radial Velocity, Astrometry",BD-21 397,0.679,0.747,4051.0,0.12,23.74,K7V,2023,2024-06-08,Published in a refereed paper
BD+45 564 b,Confirmed,0.37,0.219,307.88,0.83,0.12,Radial Velocity,BD+45 564,0.95,0.96,5540.0,,53.7,K1,2021,2021-05-21,Published in a refereed paper
BD+48 738 b,Confirmed,0.37,0.219,392.6,1.0,0.2,Radial Velocity,BD +48 738,0.74,11.0,4414.0,-0.2,395.297,K0III,2011,2019-06-13,Published in a refereed paper
BD+48 740 b,Confirmed,0.37,0.219,733.0,1.7,0.76,Other,BD+48 740,1.09,10.33,4534.0,-0.13,678.933,K3 III,2012,2020-03-08,Published in a refereed paper
BD+49 828 b,Confirmed,0.37,0.219,2590.0,4.2,0.35,Radial Velocity,BD+49 828,1.52,7.6,4943.0,-0.19,395.297,K0III,2015,2015-07-26,Published in a refereed paper
BD+55 362 b,Confirmed,0.37,0.219,265.59,0.78,0.27,Radial Velocity,BD+55 362,0.95,0.96,5540.0,,52.65,K3,2021,2021-05-21,Published in a refereed paper
BD+63 1405 Ab,Confirmed,0.37,0.219,1198.48,2.06,0.88,Radial Velocity,BD+63 1405 A,0.85,0.8047,5073.0,,38.09,K0V,2021,2025-02-11,Published in a refereed paper
BEBOP-3 (AB)b,Confirmed,0.37,0.219,347.0,1.444,0.247,Radial Velocity,BD+79 230 (AB),1.4361,1.414,6033.0,-0.02,118.0,F9/G0IV-V+M3V,2025,2025-06-18,Published in a refereed paper
beta Cnc Ab,Confirmed,0.37,0.219,605.2,1.7,0.08,Radial Velocity,beta Cnc A,1.7,48.96,3990.0,-0.29,92.99,K4III,2014,2024-07-30,Published in a refereed paper
beta Pic b,Confirmed,9.885799999999952,1.65,6979.699999999986,9.93,0.103,Imaging,beta Pic,1.73,1.8,8052.0,,19.3,A6V,2008,2022-07-07,Published in a refereed paper
beta Pic c,Confirmed,8.89,1.2,1227.0,2.68,0.32,Radial Velocity,beta Pic,1.73,1.8,8052.0,,19.3,A6V,2019,2024-03-24,Published in a refereed paper
beta Umi b,Confirmed,0.37,0.219,522.3,1.4,0.19,Radial Velocity,beta Umi,1.4,42.06,4126.0,-0.27,40.14,K4III,2014,2014-05-12,Published in a refereed paper
CD Cet b,Confirmed,0.01244,0.219,2.2907,0.0185,0.062,Radial Velocity,CD Cet,0.161,0.175,3130.0,0.13,8.609,M5.0,2020,2020-06-06,Published in a refereed paper
CFHTWIR-Oph 98 b,Confirmed,7.8,1.65,6979.699999999986,13.465749999999817,0.062,Imaging,CFHTWIR-Oph 98,0.0154,0.24,2320.0,,137.0,M9-L1,2020,2024-06-12,Published in a refereed paper
chi Sco b,Confirmed,0.37,0.219,578.38,1.45,0.06,Radial Velocity,chi Sco,1.22,25.92,4157.0,-0.01,116.0,K3 III,2020,2024-05-28,Published in a refereed paper
chi Vir b,Confirmed,0.37,0.219,835.477,2.14,0.462,Radial Velocity,chi Vir,2.17,20.9,4445.0,0.19,90.0,K2III,2009,2024-06-12,Published in a refereed paper
chi Vir c,Confirmed,0.37,0.219,130.0,0.64,0.44,Radial Velocity,chi Vir,2.17,20.9,4445.0,0.19,90.0,K2III,2015,2024-06-12,Published in a refereed paper
CHXR 73 Ab,Confirmed,9.885799999999952,0.219,10.924709,13.465749999999817,0.062,Imaging,CHXR 73 A,0.35,0.96,5540.0,,395.297,M3.25,2006,2024-07-31,Published in a refereed paper
CI Tau c,Confirmed,0.37,0.219,25.2,0.17,0.58,Radial Velocity,CI Tau,0.9,0.96,5540.0,,158.0,K4IV,2024,2024-09-04,Published in a refereed paper
COCONUTS-2 b,Confirmed,6.4,1.12,10.924709,13.465749999999817,0.062,Imaging,COCONUTS-2A,0.37,0.388,3406.0,0.0,10.89,M3,2021,2024-04-29,Submitted to a professional journal
CoRoT-10 b,Confirmed,2.75,0.97,13.2406,0.1055,0.53,Primary Transit,CoRoT-10,0.89,0.79,5075.0,0.26,345.0,K1V,2010,2014-08-29,Published in a refereed paper
CoRoT-11 b,Confirmed,2.33,1.43,2.994325,0.04351,0.0,Primary Transit,CoRoT-11,1.27,1.36,6343.0,0.04,560.0,F6V,2010,2014-08-17,Published in a refereed paper
CoRoT-12 b,Confirmed,0.917,1.44,2.8280517,0.04016,0.07,Primary Transit,CoRoT-12,1.078,1.116,5675.0,0.16,1150.0,G2V,2010,2021-12-21,Published in a refereed paper
CoRoT-13 b,Confirmed,1.308,0.885,4.0350906,0.051,0.0,Primary Transit,CoRoT-13,1.09,1.01,5945.0,0.01,1310.0,G0V,2010,2021-12-21,Published in a refereed paper
CoRoT-14 b,Confirmed,7.6,1.09,1.51214,0.027,0.0,Primary Transit,CoRoT-14,1.13,1.21,6035.0,0.05,1340.0,F9V,2010,2014-01-24,Published in a refereed paper
CoRoT-16 b,Confirmed,0.535,1.17,5.35227,0.0618,0.33,Primary Transit,CoRoT-16,1.098,1.19,5650.0,0.19,840.0,G5V,2010,2014-01-24,Published in a refereed paper
CoRoT-17 b,Confirmed,2.43,1.02,3.768125,0.0461,0.0,Primary Transit,CoRoT-17,1.04,1.59,5740.0,0.0,920.0,G2V,2010,2014-01-24,Published in a refereed paper
CoRoT-18 b,Confirmed,3.47,1.31,1.90009057,0.0295,0.08,Primary Transit,CoRoT-18,0.95,1.0,5440.0,-0.1,870.0,G9V,2011,2021-12-21,Published in a refereed paper
CoRoT-19 b,Confirmed,1.11,1.29,3.8971372,0.0518,0.047,Primary Transit,CoRoT-19,1.21,1.65,6090.0,-0.02,800.0,F9V,2011,2021-12-21,Published in a refereed paper
CoRoT-1 b,Confirmed,1.03,1.49,1.50896848,0.0254,0.0,Primary Transit,CoRoT-1,0.95,1.11,6298.0,0.06,460.0,G0V,2007,2021-12-21,Published in a refereed paper
CoRoT-20 b,Confirmed,4.24,0.84,9.2431839,0.0902,0.562,Primary Transit,CoRoT-20,1.14,0.92,5880.0,0.14,1230.0,G2V,2011,2021-12-21,Published in a refereed paper
CoRoT-21 b,Confirmed,2.26,1.3,2.72474,0.0417,0.0,Primary Transit,CoRoT-21,1.29,1.95,6200.0,0.0,1400.0,F8IV,2011,2014-01-24,Published in a refereed paper
CoRoT-22 b,Confirmed,0.06,0.4354,9.75598,0.092,0.077,Primary Transit,CoRoT-22,1.099,1.136,5939.0,0.17,592.0,G0V,2011,2024-08-06,Announced on a professional conference
CoRoT-23 b,Confirmed,2.8,1.08,3.6314,0.0477,0.16,Primary Transit,CoRoT-23,1.14,1.61,5900.0,0.05,600.0,G0V,2011,2025-01-30,Published in a refereed paper
CoRoT-24 b,Confirmed,0.018,0.33,5.1134,0.056,0.0,Primary Transit,CoRoT-24,0.91,0.86,4950.0,0.3,600.0,K1V,2011,2025-02-19,Published in a refereed paper
CoRoT-24 c,Confirmed,0.088,0.44,11.759,0.098,0.0,Primary Transit,CoRoT-24,0.91,0.86,4950.0,0.3,600.0,K1V,2011,2019-06-13,Published in a refereed paper
CoRoT-25 b,Confirmed,0.27,1.08,4.86069,0.0578,0.062,Primary Transit,CoRoT-25,1.09,1.19,6040.0,-0.01,1000.0,G0V,2012,2014-05-21,Published in a refereed paper
CoRoT-26 b,Confirmed,0.52,1.26,4.20474,0.0526,0.0,Primary Transit,CoRoT-26,1.09,1.79,5590.0,0.01,1670.0,G8IV,2012,2014-05-27,Published in a refereed paper
CoRoT-27 b,Confirmed,9.885799999999952,1.007,3.57532,0.0476,0.065,Primary Transit,CoRoT-27,1.05,1.08,5900.0,0.1,395.297,G2,2012,2014-07-10,Published in a refereed paper
CoRoT-28 b,Confirmed,0.37,0.955,5.20851,0.059,0.047,Primary Transit,CoRoT-28,1.01,1.78,5150.0,0.15,560.0,G8/9IV,2012,2015-08-17,Published in a refereed paper
CoRoT-29 b,Confirmed,0.85,0.9,2.85057,0.039,0.082,Primary Transit,CoRoT-29,0.976,0.9,5260.0,0.2,765.0,K0V C,2012,2015-04-27,Published in a refereed paper
CoRoT-2 Ab,Confirmed,3.31,1.465,1.7429964,0.0281,0.0,Primary Transit,CoRoT-2 A,0.972,0.938,5529.0,-0.04,213.283,G5V,2007,2024-08-03,Published in a refereed paper
CoRoT-30 b,Confirmed,2.9,1.009,9.06005,0.0844,0.007,Primary Transit,CoRoT-30,0.98,0.91,5660.0,0.02,960.0,G3V,2017,2019-09-02,Published in a refereed paper
CoRoT-31 b,Confirmed,0.84,1.46,4.62941,0.0586,0.02,Primary Transit,CoRoT-31,1.25,2.15,5370.0,0.0,2190.0,G2IV,2017,2019-09-02,Published in a refereed paper
CoRoT-32 b,Confirmed,0.15,0.57,6.71837,0.071,0.062,Primary Transit,CoRoT-32,1.09,0.79,5970.0,0.0,395.297,G0VI,2017,2017-09-13,Published in a refereed paper
CoRoT-35 b,Confirmed,1.1,1.65,3.22748,0.0429,0.0,Primary Transit,CoRoT-35,1.01,1.65,6390.0,-0.5,1140.0,F3V,2022,2022-07-19,Published in a refereed paper
CoRoT-36 b,Confirmed,0.68,1.41,5.616531,0.066,0.0,Primary Transit,CoRoT-36,1.32,1.52,6730.0,-0.1,954.0,Unknown,2022,2022-07-19,Published in a refereed paper
CoRoT-4 b,Confirmed,0.72,1.19,9.20166201,0.09,0.0,Primary Transit,CoRoT-4,1.1,1.15,6190.0,0.05,395.297,F8V,2008,2021-12-21,Published in a refereed paper
CoRoT-5 b,Confirmed,0.467,1.33,4.0379148,0.04947,0.09,Primary Transit,CoRoT-5,1.0,1.186,6100.0,-0.25,400.0,F9V,2008,2021-12-21,Published in a refereed paper
CoRoT-6 b,Confirmed,2.96,1.166,8.886593,0.0855,0.1,Primary Transit,CoRoT-6,1.055,1.025,6090.0,-0.2,395.297,F9V,2009,2025-02-19,Published in a refereed paper
CoRoT-7 Ab,Confirmed,0.01907,0.136,0.8535,0.0172,0.12,Primary Transit,CoRoT-7 A,0.93,0.87,5313.0,0.03,150.0,K0V,2009,2024-08-06,Published in a refereed paper
CoRoT-7 Ac,Confirmed,0.37,0.219,3.697,0.046,0.12,Radial Velocity,CoRoT-7 A,0.93,0.87,5313.0,0.03,150.0,K0V,2009,2024-08-06,Published in a refereed paper
CoRoT-7 Ad,Confirmed,0.37,0.219,8.966,0.08,0.0,Radial Velocity,CoRoT-7 A,0.93,0.87,5313.0,0.03,150.0,K0V,2010,2024-08-06,Published in a refereed paper
CoRoT-8 b,Confirmed,0.2158,0.5692,6.21229,0.063,0.0,Primary Transit,CoRoT-8,0.88,0.77,5080.0,0.3,380.0,K1V,2010,2018-11-20,Published in a refereed paper
CoRoT-9 Ab,Confirmed,0.84,0.94,95.273804,0.407,0.133,Primary Transit,CoRoT-9 A,0.99,0.94,5625.0,-0.01,460.0,G3V,2010,2024-08-03,Published in a refereed paper
CRTS J071126.0+440405 (AB)b,Confirmed,0.37,0.219,4109.0,0.102,0.805,Timing,CRTS J071126.0+440405,0.9,0.96,5540.0,,214.0,Unknown,2024,2024-05-28,Published in a refereed paper
DE CVn b,Confirmed,0.37,0.219,4098.1,5.75,0.062,TTV,DE CVn,0.95,0.96,5540.0,,395.297,DA+M3V,2018,2018-11-21,Published in a refereed paper
DH Tau b,Confirmed,9.885799999999952,0.219,10.924709,13.465749999999817,0.062,Imaging,DH Tau,0.37,0.96,5540.0,,395.297,M0.5V,2005,2020-01-08,Published in a refereed paper
DMPP-4 b,Confirmed,0.37,0.219,3.39791,0.04853,0.067,Radial Velocity,DMPP-4,1.25,1.38,6400.0,-0.007,25.43,F5-F8V,2023,2023-07-17,Published in a refereed paper
DP Leo (AB) b,Confirmed,6.05,0.219,6979.699999999986,8.19,0.39,Timing,DP Leo (AB),0.69,0.96,5540.0,,395.297,AM Her,2009,2018-10-29,Published in a refereed paper
DS Tuc Ab,Confirmed,0.0453,0.5085,8.138268,0.0795,0.062,Primary Transit,DS Tuc A,0.959,0.872,5597.0,-0.08,44.12,G6V,2019,2024-08-04,Published in a refereed paper
DW Lyn b,Confirmed,0.37,0.219,1450.0,1.148,0.062,Timing,DW Lyn,0.95,0.96,5540.0,,395.297,SdB D,2013,2020-04-18,Published in a refereed paper
