kepid,kepoi_name,koi_disposition,koi_score,koi_period,koi_prad,koi_teq,koi_insol,koi_steff,koi_srad,koi_slogg,koi_kepmag
9117416,K03425.02,2,0.953,3.15722086,1.41,1791.0,2436.47,6120.0,2.0,3.934,13.266
5900235,K03426.01,1,0.393,58.7701045,1.57,508.0,15.78,6158.0,1.013,4.397,14.324
9474756,K03495.02,1,0.905,6.685438,1.25,1040.0,276.02,5808.0,1.159,4.326,15.135
7517261,K03496.01,2,0.997,23.2385587,2.18,903.0,157.09,6602.0,1.685,4.108,13.932
7517261,K03496.02,1,0.994,8.5433774,1.58,1260.0,595.97,6602.0,1.685,4.108,13.932
5653795,K07734.01,0,0.23,118.314913,7.23,786.0,90.09,6190.0,4.763,3.34,13.172
8424002,K03497.01,2,1.0,20.35971899,0.8,276.0,1.38,3419.0,0.344,4.904,13.393
8635938,K03498.01,0,0.0,43.798566,48.52,721.0,63.8,5611.0,2.227,3.842,12.963
10464666,K03578.01,0,0.0,131.73630485,54.38,413.0,6.89,5102.0,1.669,3.962,13.395
5024292,K03579.01,0,0.0,4.301031137,93.01,1454.0,1056.61,6386.0,1.548,4.208,14.573
4659255,K03580.01,0,0.0,198.01379181,38.49,260.0,1.09,5359.0,0.708,4.566,15.546
8263746,K03581.01,0,0.0,10.9938268,52.69,627.0,36.46,4856.0,0.743,4.554,16.751
5877292,K07744.01,1,0.592,11.7201693,1.34,870.0,135.43,6193.0,1.067,4.434,15.171
10657406,K01837.02,2,1.0,1.682934607,1.06,1270.0,615.67,5201.0,0.834,4.573,13.733
3428468,K03582.01,0,0.0,114.90862419,42.78,259.0,1.06,4412.0,0.737,4.565,15.927
7091432,K03353.01,2,1.0,11.55532445,1.7,674.0,48.88,5149.0,0.803,4.506,14.598
9845909,K03354.01,1,0.937,11.5706005,1.33,771.0,83.39,5718.0,0.9,4.479,15.089
9221528,K03355.01,1,0.999,16.2953228,1.6,773.0,84.23,6187.0,1.013,4.432,15.11
6106046,K07762.01,1,0.977,8.5073512,1.38,891.0,148.86,5914.0,0.955,4.483,15.33
6368230,K03356.01,2,0.996,26.0841212,1.35,598.0,30.24,6083.0,0.835,4.563,15.44
7115291,K03357.01,0,0.0,52.802767576,75.82,472.0,11.73,5835.0,0.901,4.492,15.193
9907505,K03427.01,0,0.0,39.206808648,50.2,516.0,16.82,5945.0,0.861,4.545,15.545
9027909,K03428.01,2,0.988,64.6589166,2.12,535.0,19.39,5821.0,1.395,4.172,14.694
9230021,K03429.01,1,0.892,15.8283833,1.8,758.0,78.2,5596.0,1.145,4.298,15.364
6369845,K07777.01,0,0.0,27.6760342,5.15,951.0,193.23,5123.0,3.224,3.442,13.33
9230021,K03429.02,2,0.993,8.74192361,1.94,924.0,172.38,5596.0,1.145,4.298,15.364
9230021,K03429.03,0,0.4808294015396076,26.936878,1.57,617.0,34.24,5878.0,0.998,4.442,15.364
3662838,K00302.02,0,0.4808294015396076,53.34418038,102.89177806760135,1085.3858276274318,7745.737022611707,5706.8232800782525,1.7287115530920552,4.310156613411586,12.059
5471688,K03499.01,0,0.0,12.4281308,0.85,715.0,61.78,5940.0,0.729,4.621,15.056
8552719,K01792.03,2,0.991,9.10969334,1.32,873.0,137.45,5611.0,1.073,4.388,12.16
5471688,K03499.02,0,0.4808294015396076,0.96283264,0.74,1686.0,1908.55,5955.0,0.733,4.617,15.056
6058816,K03500.01,2,0.93,73.7502765,3.78,677.0,49.76,6056.0,2.481,3.797,13.214
6058816,K03500.02,1,0.979,4.7482669,1.57,1690.0,1927.62,6056.0,2.481,3.797,13.214
5130740,K03583.01,0,0.0,210.30644361,101.13,525.0,17.94,7591.0,2.017,4.05,12.504
9892471,K03584.01,0,0.0,8.268081087,50.31,863.0,130.83,5749.0,0.922,4.502,15.768
2019076,K03585.01,0,0.0,3.564614021,46.0,1187.0,470.37,5891.0,0.892,4.45,15.671
5879448,K07745.01,0,0.0,533.47707,2.6,315.0,2.33,6077.0,1.759,3.931,13.294
7376490,K03586.01,0,0.0,5.877122413,45.95,1061.0,300.43,5778.0,1.043,4.325,13.147
11968513,K03587.01,0,0.0,1.036592635,463.05,4194.0,73013.77,4884.0,8.747,2.737,14.441
4263529,K03358.01,1,1.0,10.10404351,4.05,752.0,75.32,5530.0,0.831,4.541,14.031
7866921,K03360.01,0,0.0,91.4999978,21.86,335.0,2.98,5263.0,0.774,4.572,14.801
6619815,K03361.01,2,0.484,65.9407869,2.33,454.0,10.04,5982.0,0.96,4.493,15.502
6113752,K07763.01,0,0.198,406.45737,1.96,278.0,1.42,6217.0,1.141,4.364,13.079
3098197,K03362.01,0,0.0,30.47639859,43.01,542.0,20.39,5913.0,0.787,4.585,14.84
11651712,K03363.01,2,0.997,14.53260546,1.69,746.0,73.37,6003.0,0.932,4.507,13.785
9896558,K01718.02,2,0.992,153.348739,2.14,377.0,4.78,6127.0,1.08,4.356,15.224
7697103,K03430.01,1,0.729,13.9248005,0.9,588.0,28.27,5271.0,0.648,4.669,15.712
9267996,K03431.01,1,0.0,19.6001405,2.08,676.0,49.23,6003.0,0.932,4.507,13.874
7045605,K07808.01,0,0.169,361.526458,5.7,410.0,6.67,7196.0,1.923,4.064,13.151
8738775,K03432.01,2,0.996,48.0506878,2.36,564.0,23.9,5332.0,1.453,4.083,15.033
7093401,K03433.01,1,0.999,34.08429351,36.05,506.0,15.46,5252.0,0.922,4.428,15.417
7877818,K03816.01,0,0.0,9.44942628,75.22,1192.0,476.13,5092.0,2.664,3.689,13.819
5636642,K03817.01,0,0.0,0.933489066,48.01,1979.0,3648.49,5758.0,1.084,4.307,16.428
6515722,K03818.01,0,0.0,1.908525084,3.74,3191.0,24558.81,9174.0,2.471,4.013,11.721
6679504,K07788.01,0,0.02,0.798467681,0.82,1718.0,2064.49,5575.0,0.733,4.557,15.89
5560831,K03819.01,0,0.0,0.867721348,67.0,2089.0,4487.7,5510.0,1.276,4.186,16.09
5305404,K03820.01,0,0.0,161.252567,5.04,318.0,2.41,5985.0,0.811,4.574,14.72
3728432,K03893.01,2,1.0,3.90863457,1.86,787.0,91.01,4518.0,0.653,4.613,15.646
6696580,K02092.03,2,0.783,77.086191,29.77,464.0,11.0,6228.0,1.049,4.441,15.886
5473535,K03894.01,0,0.0,1.673662758,23.42,1729.0,2106.67,6444.0,1.053,4.433,14.576
12106934,K03895.01,0,0.0,5.93717724,594.32,1005.0,241.6,5780.0,1.0,4.438,18.358
6222898,K03896.01,0,0.0,3.89043062,1.24,1106.0,354.22,5646.0,0.896,4.449,15.204
3955866,K03897.01,0,0.4808294015396076,16.8282542,2.66,668.0,46.95,5575.0,0.972,4.496,14.889
11200767,K03667.01,0,0.0,2.489549075,59.57,1708.0,2007.56,6184.0,1.406,4.138,13.368
9892816,K01955.03,2,1.0,1.644221032,1.18,1897.0,3071.95,6297.0,1.369,4.26,13.147
8589731,K03668.01,0,0.0,4.469731089,84.63,1614.0,1604.34,5758.0,2.318,3.808,13.246
4356766,K03669.01,0,0.007,1.731803197,22.87,1526.0,1285.11,5761.0,1.029,4.426,15.449
2167890,K03670.01,0,0.0,2.64830047,126.54,3042.0,20225.84,4839.0,9.278,2.761,12.858
5384079,K02011.02,2,0.947,17.2653659,1.16,888.0,146.92,6388.0,1.402,4.244,12.556
4935914,K03743.01,0,0.0,3.486318703,54.53,1201.0,491.1,5780.0,1.0,4.438,17.914
11303811,K03744.01,0,0.0,1.705780649,25.95,1101.0,348.32,4970.0,0.591,4.665,15.77
2437783,K03745.01,0,0.0,7.45306683,1044.28,932.0,178.53,5780.0,1.0,4.438,17.3
12062660,K03746.01,0,0.0,2.929299629,51.67,1272.0,618.11,5780.0,1.0,4.438,17.382
9777087,K03747.01,0,0.0,5.50811352,34.03,778.0,86.57,5188.0,0.624,4.687,17.065
5956776,K03821.01,0,0.0,0.569115097,156.15,3357.0,29827.37,7174.0,1.705,4.13,16.747
8883727,K03822.01,0,0.0,2.529073751,25.8,1137.0,395.83,5465.0,0.766,4.598,15.573
4820550,K03823.01,1,1.0,202.1168173,5.8,286.0,1.59,5536.0,0.917,4.498,13.922
6516874,K03824.01,0,0.0,0.916326699,50.7,1917.0,3196.67,6046.0,0.972,4.486,15.896
11709124,K00435.03,2,0.884,33.0405509,2.36,561.0,23.4,5688.0,0.971,4.415,14.534
9161118,K03898.01,0,0.0,1.306723495,27.42,1170.0,443.02,4651.0,0.657,4.612,15.984
3556229,K03899.01,0,0.0,0.7967202,56.89,1964.0,3497.4,5780.0,1.0,4.438,17.656
11911580,K03900.01,0,0.0,359.102042,28.76,290.0,1.67,6355.0,1.108,4.41,13.906
9480535,K03901.01,2,0.998,160.130899,6.67,450.0,9.68,6092.0,1.759,4.056,15.13
10583225,K03902.01,0,0.0,2.69634575,1.46,1287.0,650.06,5418.0,1.051,4.335,14.544
5215251,K03903.01,0,0.0,2.553924603,32.67,1352.0,789.69,5993.0,0.986,4.489,15.755
10383696,K03671.01,0,0.0,8.487871809,46.24,798.0,96.0,5553.0,0.855,4.558,16.947
9777090,K03672.01,0,0.0,5.50817321,39.18,768.0,82.55,5051.0,0.644,4.663,17.779
11455484,K03673.01,0,0.0,6.142812722,31.9,994.0,230.71,5780.0,1.0,4.438,16.152
2446623,K03674.01,0,0.0,175.06586091,40.63,312.0,2.24,6021.0,0.819,4.57,15.62
9596089,K03675.01,0,0.0,20.8392148,51.9,584.0,27.45,5378.0,0.812,4.488,16.583
5738506,K03676.01,0,0.0,9.50158045,73.07,860.0,128.99,5780.0,1.0,4.438,18.347
9777087,K03747.02,0,0.4808294015396076,19.226055,3.52,513.0,16.32,5193.0,0.621,4.689,17.065
4247807,K03748.01,0,0.0,2.050435466,34.84,1278.0,629.98,5440.0,0.825,4.496,14.808
11547869,K03749.01,1,0.0,10.72725536,12.85,307.0,2.1,3324.0,0.268,5.006,16.415
7700590,K03750.01,0,0.0,1.507101452,39.32,1573.0,1453.29,5884.0,0.876,4.453,14.848
9053086,K03751.01,0,0.0,1.274841686,63.68,2025.0,3957.46,6211.0,1.281,4.247,14.034
3128552,K02055.02,2,0.986,4.02582434,1.79,1169.0,440.08,5509.0,1.116,4.308,14.523
5467113,K03825.01,0,0.0,2.845746618,135.99,1667.0,1822.75,5641.0,1.776,3.948,15.833
8240123,K03826.01,0,0.0,2.30120705,28.64,1254.0,583.42,5641.0,0.85,4.554,15.818
5114623,K03827.01,0,0.4808294015396076,337.377514,37.23,271.0,1.28,6029.0,0.998,4.452,15.36
5114623,K03827.02,0,0.4808294015396076,389.28075044,102.89177806760135,1085.3858276274318,7745.737022611707,5706.8232800782525,1.7287115530920552,4.310156613411586,15.36
10031907,K03828.01,0,0.0,8.58965725,27.86,828.0,111.01,5697.0,0.892,4.539,14.649
6525946,K02093.02,1,0.98,2.508116,12.28,3662.0,42618.46,5096.0,8.769,2.435,15.357
5480736,K03904.01,0,0.0,8.56751264,23.05,972.0,210.83,6212.0,1.054,4.42,14.943
8487748,K03905.01,0,0.0,1.061934313,15.14,1104.0,352.77,4304.0,0.566,4.675,15.454
9892856,K03906.01,0,0.0,2.406574511,26.22,1481.0,1140.2,6167.0,1.107,4.428,15.42
7137213,K03907.01,0,1.0,28.64338839,5.82,871.0,136.32,6507.0,1.767,4.002,12.642
6795089,K07792.01,0,0.133,96.231257,29.26,965.0,204.8,4895.0,9.529,2.674,13.648
3340313,K03677.01,0,0.0,30.5528701,63.57,685.0,51.9,6441.0,1.165,4.367,16.245
9892816,K01955.04,2,0.993,26.2347447,2.76,754.0,76.31,6297.0,1.369,4.26,13.147
4150804,K03678.01,2,1.0,160.88451966,9.09,346.0,3.39,5650.0,1.044,4.313,12.888
